DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSoudzi  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
DIFFERENCE:            (IHistClm50BgcSoudzi) - (IHistClm50Bgc)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -0.007
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.030
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux   0.001
GPP(PgC/y) gross primary production                                       -0.640
CUE(NPP/GPP) carbon use efficiency                                        -0.001
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.360
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.281
NPP(PgC/y) net primary production                                         -0.390
AGNPP(PgC/y) above ground net primary production                          -0.135
BGNPP(PgC/y) below ground net primary production                          -0.228
MR(PgC/y) maintenance respiration                                         -0.288
GR(PgC/y) total growth respiration                                        -0.043
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.251
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.360
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.098
SR(PgC/y) total soil respiration (HR + root resp)                         -0.458
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.610
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.002
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.003
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.006
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -1.446
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.040
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.008
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.002
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.013
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.000
LEAFC(PgC) leaf carbon                                                    -0.068
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.031
SOIL3C(PgC) Soil organic matter C (slow pool)                             -0.155
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.105
LIVESTEMC(PgC) live stem C                                                 0.003
DEADSTEMC(PgC) dead stem carbon                                            1.032
LIVECROOTC(PgC) live coarse root carbon                                    0.001
DEADCROOTC(PgC) dead coarse root carbon                                    0.338
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                           0.954
CWDC(PgC) coarse woody debris carbon                                       0.329
TOTLITC(PgC) total litter carbon                                          -0.502
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.502
TOTSOMC(PgC) total SOM carbon                                             -0.872
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -4.066
TOTLITN(TgN) total litter N                                              -12.003
TOTLITN_1m(TgN) total litter N to 1m depth                               -12.011
TOTSOMN(TgN) total soil organic matter N                                 -82.000
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -372.109
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                -0.094
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                        -0.062
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.002
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                  -999.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -17.879
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -9.338
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -20.434
NET_NMIN(TgN/y) Net N Mineralization                                     -11.097
NDEPLOY(TgN/y) Total N Deployed in New Growth                            -12.376
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.231
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                 -11.689
DENIT(TgN/y) Total Denitrification                                         1.840
SOIL3N(TgN) soil organic matter N (slow pool)                            -14.094
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                     1.749
NECM(TgN/y) ECM-associated N uptake flux                                  -3.043
NFIX(TgN/y) Symbiotic BNF uptake flux                                      1.373
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.690
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    0.080
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.001
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.068
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.016
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.390
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.002
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.015
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.059
SMINN(TgN) soil mineral N                                                -34.287
RETRANSN(TgN) plant pool of retranslocated N                              -0.158
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.037
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.024
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.804
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.515
FAREA_BURNED(proportion/y) fractional area burned                         -0.001
BAF_CROP(proportion/y) fractional area burned - crop                      -0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.027
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.235
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.235
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.158
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.157
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.184
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.369
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.176
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          1.374
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.030
WOODC_LOSS(PgC/y) Wood C Loss                                              0.029
