DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      IHistClm50BgcSoudzi  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         286.353             286.353              17.366              17.280               6.338               6.299             141.039             141.045              36.214              36.277              91.707              91.721
Canadian Arctic        257.152             257.152               1.875               1.872               0.837               0.836              16.267              16.277              65.433              65.429             165.963             165.959
Greenland              609.965             609.965               1.997               1.963               0.304               0.299               4.748               4.738             -10.909             -10.869             263.587             263.581
Russian Arctic         309.888             309.888              11.328              11.328               4.017               4.014             112.395             112.351              58.327              58.340             127.821             127.848
Antarctica             247.985             247.985               0.000               0.000               0.000               0.000               0.000               0.000              -8.669              -8.669               6.802               6.802
Alaska                 652.098             652.098              33.978              34.172               6.239               6.272             153.893             154.293              58.151              57.992             406.070             405.636
Northwest Canada       375.343             375.343              24.200              24.237               5.925               5.932             169.333             169.516             121.726             121.541              59.877              59.842
Central Canada         544.034             544.034              40.973              41.225               7.388               7.433             186.364             187.212             157.909             157.426             158.477             157.853
Eastern Canada         791.435             791.435              36.904              37.179               4.438               4.472             108.005             108.864             126.342             125.940             519.964             519.234
Northern Europe        648.146             648.146              39.463              39.578               6.465               6.477             170.490             169.584              69.311              69.333             368.647             369.368
Western Siberia        517.754             517.754              34.897              35.030               6.752               6.779             208.022             208.651              99.406              99.112             175.002             174.524
Eastern Siberia        381.790             381.790              23.898              23.982               5.953               5.976             144.988             145.581              94.782              94.331             118.205             117.976
Western U.S.           435.018             435.018              21.980              22.196               4.883               4.923             111.823             113.194             148.488             147.599             152.884             152.180
Central U.S.           765.446             765.446              74.163              74.839              10.041              10.120             314.883             317.208             158.504             157.268             218.050             216.284
Eastern U.S.          1073.702            1073.702              84.110              85.162               7.595               7.681             327.451             330.954             187.924             186.096             474.335             471.609
Europe                 818.686             818.686              56.277              56.527               6.991               7.024             259.269             259.266              92.676              92.371             410.397             410.454
Mediterranean          712.024             712.024              49.318              50.133               6.945               7.054             296.306             299.707             132.632             129.995             233.792             232.203
Central America       2321.650            2321.650             333.244             334.137              14.908              14.966             751.557             753.078             172.984             171.940            1063.641            1062.271
Amazonia              2042.705            2042.705             227.025             227.047              11.115              11.116             771.044             771.350             197.989             197.878             846.824             846.608
Central Africa        1637.739            1637.739             228.214             228.747              13.863              13.889             715.139             718.335             157.698             155.962             536.501             534.514
Indonesia             2826.926            2826.926             310.098             312.148              11.860              11.938             821.170             823.637             152.611             149.972            1543.023            1541.144
Brazil                1394.025            1394.025             159.797             159.867              11.633              11.637             627.199             627.427             195.441             195.332             411.621             411.436
Sahel                 1020.853            1020.853              97.098              98.159               9.776               9.851             364.116             367.017             230.328             227.902             329.230             327.698
Southern Africa        905.067             905.067              65.133              65.447               7.125               7.158             345.035             351.814             262.068             259.289             232.705             228.381
India                 1126.653            1126.653              80.471              81.338               7.267               7.333             494.020             494.901             215.375             216.505             336.979             334.160
Indochina             1866.128            1866.128             133.548             134.998               7.388               7.472             646.475             655.480             198.744             194.205             887.433             881.530
Sahara Desert           91.876              91.876               1.730               1.730               0.673               0.673              17.720              17.720              61.822              61.822              10.531              10.531
Arabian Peninsula       69.486              69.486               0.899               0.899               0.476               0.476              14.997              15.006              49.022              49.015               4.635               4.633
Australia              267.706             267.706              10.664              10.868               3.878               3.951             111.405             112.991             127.576             126.261              18.137              17.659
Central Asia           206.878             206.878               3.867               3.888               1.568               1.576              66.705              67.082             109.622             109.307              26.905              26.826
Mongolia               203.601             203.601              12.885              12.892               4.429               4.430              81.091              81.218              90.845              90.757              19.083              19.039
Tibetan Plateau        566.182             566.182              26.516              26.428               4.350               4.338             162.378             162.121              87.957              88.154             289.338             289.487
Central Asia           303.410             303.410              10.977              11.036               2.961               2.970              96.801              97.451             145.588             145.254              50.157              49.789
NE China               357.496             357.496              30.271              30.415               6.801               6.822             163.919             164.350             101.338             101.046              62.207              61.925
Eastern China          695.475             695.475              63.542              63.908               8.995               9.038             319.497             321.406             105.567             104.663             206.956             205.580
Tibetan Plateau        566.182             566.182              26.516              26.428               4.350               4.338             162.378             162.121              87.957              88.154             289.338             289.487
Southern Asia         1202.040            1202.040              91.461              92.269               6.661               6.710             399.684             402.222             139.448             138.198             571.497             569.405
Sahara and Arabia       82.988              82.988               1.436               1.436               0.605               0.605              16.625              16.628              57.332              57.330               7.563               7.562
MedSea and MidEast     431.482             431.482              21.241              21.569               3.536               3.582             168.057             170.076             161.859             160.584              80.424              79.352
Tigris Euphrates       381.053             381.053               8.573               8.669               1.910               1.926             137.653             139.110             158.622             157.943              76.360              75.489
Polar                  420.115             420.115              14.972              14.998               3.627               3.630              96.455              96.472              64.316              64.251             198.696             198.712
Lost Boreal Forest     544.162             544.162               0.000               0.000               0.000               0.000               0.000               0.000             -13.963             -13.963               3.908               3.908
N. Hemisphere Land     684.188             684.188              53.629              53.905               5.610               5.635             228.127             229.091             124.028             123.434             270.726             270.079
S. Hemisphere Land     867.882             867.882              83.333              83.575               6.499               6.522             305.326             306.805             125.050             124.308             281.309             280.328
Global                 743.897             743.897              63.285              63.549               5.899               5.923             253.220             254.352             124.360             123.718             274.165             273.410
