DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      IHistClm50BgcSteidinger  (yrs 2000-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              19.766              20.341               7.108               7.356             137.316             138.847              39.893              39.051             101.612             100.269
Canadian Arctic        252.563             252.563               2.386               2.360               1.003               0.994              15.278              15.147              68.565              68.760             164.873             164.344
Greenland              608.418             608.418               2.071               2.047               0.325               0.321               4.308               4.320              -9.536              -9.403             266.179             265.154
Russian Arctic         317.513             317.513              12.552              12.723               4.323               4.391             107.488             107.797              61.287              61.037             134.406             134.125
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.864              -8.863               6.513               6.511
Alaska                 618.794             618.794              36.077              36.737               7.091               7.208             143.407             145.587              61.588              60.365             387.783             386.149
Northwest Canada       385.049             385.049              27.499              27.199               6.688               6.585             165.362             163.605             118.884             120.452              73.502              73.859
Central Canada         548.336             548.336              44.425              44.462               7.938               7.942             180.501             180.648             154.743             154.477             170.407             170.425
Eastern Canada         831.011             831.011              39.633              39.569               4.678               4.666             100.906             100.607             123.777             124.449             558.342             558.068
Northern Europe        653.513             653.513              43.910              44.085               7.251               7.257             160.894             159.456              65.689              65.744             381.670             382.571
Western Siberia        519.028             519.028              39.656              39.514               7.620               7.595             203.090             202.670              93.098              94.028             180.785             180.461
Eastern Siberia        380.501             380.501              25.603              25.582               6.401               6.390             146.385             146.766              92.956              92.680             120.141             120.088
Western U.S.           437.236             437.236              23.311              24.931               5.316               5.584             121.211             130.158             146.307             140.968             149.149             143.867
Central U.S.           766.036             766.036              81.377              83.800              11.001              11.304             336.874             345.359             155.067             150.524             208.199             201.718
Eastern U.S.          1070.862            1070.862              98.831              99.924               8.964               9.052             333.516             335.193             177.204             175.862             469.983             468.591
Europe                 806.542             806.542              64.684              64.333               8.161               8.116             265.842             263.133              84.993              85.831             390.833             393.112
Mediterranean          705.183             705.183              54.959              55.725               7.730               7.851             313.241             311.669             125.902             124.071             209.090             211.795
Central America       2343.342            2343.342             353.361             353.240              15.590              15.586             704.579             704.866             170.033             170.136            1106.954            1106.577
Amazonia              2049.971            2049.971             257.528             257.396              12.559              12.554             770.485             771.154             165.524             165.523             847.771             847.250
Central Africa        1605.691            1605.691             256.777             257.053              15.924              15.936             710.520             710.273             134.235             133.718             505.811             506.351
Indonesia             2900.894            2900.894             349.761             351.042              12.998              13.044             825.817             826.878             124.990             123.802            1591.240            1590.061
Brazil                1375.072            1375.072             159.812             162.600              11.788              11.998             608.767             618.134             200.334             193.961             414.891             409.621
Sahel                 1063.026            1063.026             110.868             111.675              10.611              10.674             389.450             392.978             222.462             221.282             335.778             332.513
Southern Africa        910.246             910.246              69.423              67.880               7.550               7.352             338.686             333.814             261.283             268.272             241.843             241.190
India                 1093.836            1093.836              97.583              97.087               9.117               9.055             567.362             564.169             180.484             186.701             249.964             247.535
Indochina             1907.116            1907.116             156.592             156.502               8.536               8.480             680.349             690.336             167.911             167.096             896.550             887.521
Sahara Desert          103.951             103.951               1.971               1.997               0.714               0.722              18.919              18.807              68.758              68.680              12.475              12.612
Arabian Peninsula       65.663              65.663               0.884               0.896               0.512               0.521              16.804              17.661              46.414              45.710               0.648               0.508
Australia              269.662             269.662              11.249              11.405               4.070               4.125             108.768             110.135             129.473             128.289              18.770              18.425
Central Asia           213.069             213.069               4.478               4.540               1.785               1.790              88.513              90.328             106.899             105.964              14.117              13.268
Mongolia               188.456             188.456              13.009              13.045               4.744               4.750              80.432              80.325              84.167              84.327              12.372              12.316
Tibetan Plateau        469.664             469.664              24.903              24.888               4.873               4.879             142.138             142.269              88.890              89.116             226.284             225.880
Central Asia           297.452             297.452              11.294              11.291               3.053               3.050             103.607             104.246             141.525             141.220              44.093              43.681
NE China               335.400             335.400              31.516              31.648               7.465               7.490             163.280             163.535              94.319              94.317              45.219              44.927
Eastern China          672.627             672.627              75.272              75.449              10.940              10.957             336.968             337.662              91.863              91.426             163.970             163.426
Tibetan Plateau        469.664             469.664              24.903              24.888               4.873               4.879             142.138             142.269              88.890              89.116             226.283             225.880
Southern Asia         1176.335            1176.335             105.228             106.816               8.025               8.128             451.432             456.543             125.448             123.183             494.508             490.094
Sahara and Arabia       90.197              90.197               1.595               1.616               0.643               0.651              18.048              18.217              61.386              61.124               7.627               7.686
MedSea and MidEast     428.038             428.038              23.768              24.092               4.004               4.053             192.005             191.528             156.534             155.826              56.352              57.167
Tigris Euphrates       367.126             367.126               9.451               9.768               2.200               2.271             178.298             177.287             150.678             150.608              31.604              32.294
Polar                  420.239             420.239              16.723              16.765               4.054               4.069              92.708              92.669              64.886              64.938             202.607             202.389
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.559             -14.559               3.964               3.964
N. Hemisphere Land     684.536             684.536              59.716              60.039               6.223               6.264             235.255             236.526             119.201             118.575             263.775             262.784
S. Hemisphere Land     867.448             867.448              89.249              89.748               6.890               6.932             299.690             302.276             121.499             120.475             284.129             282.068
Global                 743.991             743.991              69.316              69.696               6.439               6.481             256.199             257.898             119.947             119.193             270.390             269.052
