DIAG SET 5: CLM ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSulman  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
DIFFERENCE:            (IHistClm50BgcSulman) - (IHistClm50Bgc)
 
Variable                                                              case1-case2
 
TSA(K) 2m air temperature                                                  0.002
PREC(mm/d) ppt: rain+snow                                                  0.000
RAIN(mm/d) atmospheric rain                                                0.000
SNOW(mm/d) atmospheric snow                                                0.000
SNOWDP(m) snow height                                                     -0.000
FSNO(unitless) fraction of ground covered by snow                         -0.000
H2OSNO(mm) total snow water equiv (SNOWICE + SNOWLIQ)                     -0.013
VBSA(% reflected) visible black-sky albedo                                 0.004
NBSA(% reflected) near-IR black-sky albedo                                -0.002
VWSA(% reflected) visible white-sky albedo                                 0.004
NWSA(% reflected) near-IR white-sky albedo                                -0.010
RNET(W/m^2) net radiation:fsa-fira                                        -0.036
LHEAT(W/m^2) latent heat:FCTR+FCEV+FGEV                                   -0.076
FSH(W/m^2) sensible heat                                                   0.039
FSH_TO_COUPLER(W/m^2) sensible heat sent to coupler                        0.039
FSH_PRECIP_CONVERSION(W/m^2) SHF from conv of rain/snow atm forcing        0.000
FSH_RUNOFF_ICE_TO_LIQ(W/m^2) SHF from conv of ice runoff to liquid        -0.000
CPL_ENERGY_BAL(W/m2) Coupler Energy Balance (Land Area)                    0.000
FSDS(W/m^2) atmospheric incident solar radiation                           0.000
FSA(W/m^2) absorbed solar radiation                                       -0.001
FLDS(W/m^2) atmospheric longwave radiation                                 0.000
FIRE(W/m^2) emitted infrared (longwave) radiation                          0.035
FCTR(W/m^2) canopy transpiration                                          -0.113
FCEV(W/m^2) canopy evaporation                                            -0.031
FGEV(W/m^2) ground evaporation                                             0.068
FGR(W/m^2) heat flux into snow/soil (includes snow melt)                   0.000
FSM(W/m^2) snow melt heat flux                                             0.000
TLAI(m2/m2) total one-sided leaf area index                               -0.014
TSAI(m2/m2) total one-sided stem area index                               -0.001
LAISUN(m^2/m^2) Sunlit Projected Leaf Area Index                          -0.001
LAISHA(m^2/m^2) Shaded Projected Leaf Area Index                          -0.013
FPSN(PgC/y) photosynthesis                                                -0.819
ET(mm/d) Evapotranspiration                                             -999.000
QOVER(mm/d) surface runoff                                                 0.000
QIRRIG(mm/d) water added through irrig                                     0.000
QDRAI(mm/d) sub-surface drainage                                           0.002
QRGWL(mm/d) surface runoff at glaciers (liquid only), wetlands, lakes; also includes melted ice runoff from QSNWCPICE0.000                                
WA(mm) water in the unconfined aquifer                                     0.000
ZWT(m) water table depth                                                  -0.003
TWS(mm) total water storage                                                0.547
VOLR(m3) river channel total water storage                           1611520.000
QCHARGE(mm/d) aquifer recharge rate                                        0.000
FCOV(unitless [0-1]) fractional area with water table at surface           0.000
CO2_PPMV(ppmv) CO2 concentration                                           0.000
DSTDEP(Pg/y) total dust deposition (dry+wet) from atmosphere               0.000
DSTFLXT(Pg/y) total surface dust emission                                  0.004
OCDEP(Pg/y) total OC deposition (dry+wet) from atmosphere                  0.000
BCDEP(Pg/y) total BC deposition (dry+wet) from atmosphere                  0.000
