DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSulman  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
DIFFERENCE:            (IHistClm50BgcSulman) - (IHistClm50Bgc)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -0.007
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.012
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux  -0.003
GPP(PgC/y) gross primary production                                       -0.819
CUE(NPP/GPP) carbon use efficiency                                        -0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.469
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.350
NPP(PgC/y) net primary production                                         -0.515
AGNPP(PgC/y) above ground net primary production                          -0.180
BGNPP(PgC/y) below ground net primary production                          -0.309
MR(PgC/y) maintenance respiration                                         -0.368
GR(PgC/y) total growth respiration                                        -0.057
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.304
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.503
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.116
SR(PgC/y) total soil respiration (HR + root resp)                         -0.619
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.807
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.002
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.005
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.008
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -2.191
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.021
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.004
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area       0.004
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area       0.013
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.002
LEAFC(PgC) leaf carbon                                                    -0.067
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.037
SOIL3C(PgC) Soil organic matter C (slow pool)                              3.589
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.099
LIVESTEMC(PgC) live stem C                                                 0.005
DEADSTEMC(PgC) dead stem carbon                                            0.964
LIVECROOTC(PgC) live coarse root carbon                                    0.001
DEADCROOTC(PgC) dead coarse root carbon                                    0.342
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                           0.776
CWDC(PgC) coarse woody debris carbon                                       0.731
TOTLITC(PgC) total litter carbon                                          -0.261
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.262
TOTSOMC(PgC) total SOM carbon                                              3.517
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -2.881
TOTLITN(TgN) total litter N                                               -7.150
TOTLITN_1m(TgN) total litter N to 1m depth                                -7.161
TOTSOMN(TgN) total soil organic matter N                                 317.734
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -263.594
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                 4.761
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                         4.796
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.002
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                  -999.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -19.977
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                -13.561
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -28.465
NET_NMIN(TgN/y) Net N Mineralization                                     -14.899
NDEPLOY(TgN/y) Total N Deployed in New Growth                            -15.859
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.322
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                 -15.473
DENIT(TgN/y) Total Denitrification                                         2.433
SOIL3N(TgN) soil organic matter N (slow pool)                            326.281
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                     3.007
NECM(TgN/y) ECM-associated N uptake flux                                  -6.664
NFIX(TgN/y) Symbiotic BNF uptake flux                                      1.964
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.387
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    0.121
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.001
