DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      IHistClm50BgcSulman  (yrs 2000-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              20.599              20.341               7.454               7.356             139.458             138.847              38.725              39.051              99.735             100.269
Canadian Arctic        252.563             252.563               2.388               2.360               1.005               0.994              15.314              15.147              68.639              68.760             164.228             164.344
Greenland              608.418             608.418               2.073               2.047               0.325               0.321               4.339               4.320              -9.463              -9.403             265.530             265.154
Russian Arctic         317.513             317.513              12.786              12.723               4.410               4.391             108.097             107.797              60.785              61.037             133.996             134.125
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.863              -8.863               6.511               6.511
Alaska                 618.794             618.794              36.866              36.737               7.235               7.208             145.880             145.587              60.223              60.365             385.829             386.149
Northwest Canada       385.049             385.049              27.366              27.199               6.633               6.585             164.244             163.605             119.528             120.452              74.011              73.859
Central Canada         548.336             548.336              44.652              44.462               7.978               7.942             181.184             180.648             153.931             154.477             170.261             170.425
Eastern Canada         831.011             831.011              39.538              39.569               4.664               4.666             100.590             100.607             124.453             124.449             558.029             558.068
Northern Europe        653.513             653.513              43.917              44.085               7.238               7.257             160.621             159.456              65.680              65.744             381.950             382.571
Western Siberia        519.028             519.028              39.600              39.514               7.611               7.595             202.780             202.670              93.876              94.028             180.394             180.461
Eastern Siberia        380.501             380.501              25.672              25.582               6.414               6.390             147.136             146.766              92.436              92.680             119.868             120.088
Western U.S.           437.236             437.236              24.832              24.931               5.574               5.584             130.270             130.158             140.620             140.968             144.152             143.867
Central U.S.           766.036             766.036              83.068              83.800              11.227              11.304             342.467             345.359             151.616             150.524             204.234             201.718
Eastern U.S.          1070.862            1070.862              99.146              99.924               8.996               9.052             332.435             335.193             177.186             175.862             470.751             468.591
Europe                 806.542             806.542              64.223              64.333               8.098               8.116             263.488             263.133              85.805              85.831             392.811             393.112
Mediterranean          705.183             705.183              55.047              55.725               7.755               7.851             312.928             311.669             125.213             124.071             210.004             211.795
Central America       2343.342            2343.342             350.229             353.240              15.443              15.586             701.654             704.866             173.164             170.136            1109.848            1106.577
Amazonia              2049.971            2049.971             257.078             257.396              12.540              12.554             770.212             771.154             166.021             165.523             847.992             847.250
Central Africa        1605.691            1605.691             256.040             257.053              15.866              15.936             707.393             710.273             135.356             133.718             508.594             506.351
Indonesia             2900.894            2900.894             348.595             351.042              12.950              13.044             824.699             826.878             126.545             123.802            1591.974            1590.061
Brazil                1375.072            1375.072             161.381             162.600              11.910              11.998             616.149             618.134             195.587             193.961             411.237             409.621
Sahel                 1063.026            1063.026             109.919             111.675              10.546              10.674             388.381             392.978             224.223             221.282             335.932             332.513
Southern Africa        910.246             910.246              66.984              67.880               7.249               7.352             323.323             333.814             272.938             268.272             247.765             241.190
India                 1093.836            1093.836              95.617              97.087               8.944               9.055             557.112             564.169             190.288             186.701             252.463             247.535
Indochina             1907.116            1907.116             154.523             156.502               8.360               8.480             681.849             690.336             171.724             167.096             893.499             887.521
Sahara Desert          103.951             103.951               1.996               1.997               0.722               0.722              18.805              18.807              68.682              68.680              12.614              12.612
Arabian Peninsula       65.663              65.663               0.895               0.896               0.521               0.521              17.647              17.661              45.725              45.710               0.510               0.508
Australia              269.662             269.662              11.396              11.405               4.122               4.125             110.042             110.135             128.346             128.289              18.439              18.425
Central Asia           213.069             213.069               4.520               4.540               1.783               1.790              89.973              90.328             106.191             105.964              13.397              13.268
Mongolia               188.456             188.456              13.049              13.045               4.755               4.750              80.408              80.325              84.257              84.327              12.340              12.316
Tibetan Plateau        469.664             469.664              24.972              24.888               4.892               4.879             142.608             142.269              88.670              89.116             225.486             225.880
Central Asia           297.452             297.452              11.277              11.291               3.049               3.050             103.869             104.246             141.481             141.220              43.849              43.681
NE China               335.400             335.400              31.569              31.648               7.479               7.490             163.393             163.535              94.379              94.317              45.105              44.927
Eastern China          672.627             672.627              74.707              75.449              10.871              10.957             336.002             337.662              92.391              91.426             164.918             163.426
Tibetan Plateau        469.664             469.664              24.972              24.888               4.892               4.879             142.608             142.269              88.670              89.116             225.486             225.880
Southern Asia         1176.335            1176.335             105.522             106.816               8.042               8.128             452.045             456.543             125.695             123.183             493.398             490.094
Sahara and Arabia       90.197              90.197               1.615               1.616               0.651               0.651              18.212              18.217              61.129              61.124               7.688               7.686
MedSea and MidEast     428.038             428.038              23.811              24.092               4.009               4.053             191.135             191.528             156.723             155.826              56.916              57.167
Tigris Euphrates       367.126             367.126               9.603               9.768               2.236               2.271             175.554             177.287             151.737             150.608              33.018              32.294
Polar                  420.239             420.239              16.840              16.765               4.092               4.069              93.095              92.669              64.652              64.938             202.216             202.389
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.559             -14.559               3.964               3.964
N. Hemisphere Land     684.536             684.536              59.694              60.039               6.243               6.264             235.694             236.526             119.155             118.575             263.384             262.784
S. Hemisphere Land     867.448             867.448              89.201              89.748               6.888               6.932             299.956             302.276             121.614             120.475             283.772             282.068
Global                 743.991             743.991              69.285              69.696               6.453               6.481             256.582             257.898             119.954             119.193             270.010             269.052
