DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      IHistClm50BgcSulman_v2  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         286.353             286.353              17.434              17.280               6.358               6.299             141.355             141.045              36.066              36.277              91.468              91.721
Canadian Arctic        257.152             257.152               1.888               1.872               0.842               0.836              16.364              16.277              65.361              65.429             165.919             165.959
Greenland              609.965             609.965               1.973               1.963               0.301               0.299               4.749               4.738             -10.873             -10.869             263.590             263.581
Russian Arctic         309.888             309.888              11.367              11.328               4.025               4.014             112.543             112.351              58.198              58.340             127.757             127.848
Antarctica             247.985             247.985               0.000               0.000               0.000               0.000               0.000               0.000              -8.669              -8.669               6.802               6.802
Alaska                 652.098             652.098              34.233              34.172               6.287               6.272             154.510             154.293              57.868              57.992             405.484             405.636
Northwest Canada       375.343             375.343              24.322              24.237               5.958               5.932             169.969             169.516             120.775             121.541              60.063              59.842
Central Canada         544.034             544.034              41.314              41.225               7.450               7.433             187.531             187.212             157.143             157.426             157.726             157.853
Eastern Canada         791.435             791.435              37.178              37.179               4.472               4.472             108.894             108.864             125.921             125.940             519.224             519.234
Northern Europe        648.146             648.146              39.553              39.578               6.476               6.477             170.090             169.584              69.266              69.333             368.991             369.368
Western Siberia        517.754             517.754              35.045              35.030               6.781               6.779             208.690             208.651              99.085              99.112             174.499             174.524
Eastern Siberia        381.790             381.790              24.026              23.982               5.989               5.976             145.788             145.581              94.190              94.331             117.864             117.976
Western U.S.           435.018             435.018              22.176              22.196               4.921               4.923             113.113             113.194             147.429             147.599             152.483             152.180
Central U.S.           765.446             765.446              74.401              74.839              10.071              10.120             315.574             317.208             157.879             157.268             217.772             216.284
Eastern U.S.          1073.702            1073.702              84.673              85.162               7.646               7.681             328.803             330.954             187.106             186.096             473.242             471.609
Europe                 818.686             818.686              56.484              56.527               7.017               7.024             258.966             259.266              92.475              92.371             410.696             410.454
Mediterranean          712.024             712.024              49.605              50.133               6.979               7.054             296.778             299.707             131.928             129.995             233.724             232.203
Central America       2321.650            2321.650             333.021             334.137              14.911              14.966             751.869             753.078             173.198             171.940            1063.349            1062.271
Amazonia              2042.705            2042.705             226.966             227.047              11.112              11.116             771.317             771.350             197.970             197.878             846.633             846.608
Central Africa        1637.739            1637.739             228.365             228.747              13.862              13.889             718.053             718.335             156.343             155.962             534.801             534.514
Indonesia             2826.926            2826.926             311.390             312.148              11.906              11.938             822.975             823.637             150.894             149.972            1541.644            1541.144
Brazil                1394.025            1394.025             159.407             159.867              11.604              11.637             627.029             627.427             195.896             195.332             411.738             411.436
Sahel                 1020.853            1020.853              97.493              98.159               9.804               9.851             364.935             367.017             229.444             227.902             328.908             327.698
Southern Africa        905.067             905.067              65.057              65.447               7.106               7.158             344.292             351.814             263.231             259.289             232.393             228.381
India                 1126.653            1126.653              80.148              81.338               7.247               7.333             491.043             494.901             218.312             216.505             337.403             334.160
Indochina             1866.128            1866.128             134.181             134.998               7.418               7.472             649.704             655.480             197.219             194.205             885.103             881.530
Sahara Desert           91.876              91.876               1.730               1.730               0.673               0.673              17.720              17.720              61.822              61.822              10.531              10.531
Arabian Peninsula       69.486              69.486               0.899               0.899               0.476               0.476              15.002              15.006              49.018              49.015               4.635               4.633
Australia              267.706             267.706              10.867              10.868               3.950               3.951             112.986             112.991             126.267             126.261              17.662              17.659
Central Asia           206.878             206.878               3.880               3.888               1.573               1.576              66.953              67.082             109.396             109.307              26.878              26.826
Mongolia               203.601             203.601              12.886              12.892               4.431               4.430              81.203              81.218              90.743              90.757              19.076              19.039
Tibetan Plateau        566.182             566.182              26.457              26.428               4.340               4.338             162.187             162.121              88.100              88.154             289.444             289.487
Central Asia           303.410             303.410              10.994              11.036               2.965               2.970              97.002              97.451             145.403             145.254              50.127              49.789
NE China               357.496             357.496              30.366              30.415               6.816               6.822             164.219             164.350             101.108             101.046              62.045              61.925
Eastern China          695.475             695.475              63.481              63.908               8.986               9.038             319.507             321.406             105.639             104.663             206.937             205.580
Tibetan Plateau        566.182             566.182              26.457              26.428               4.340               4.338             162.187             162.121              88.100              88.154             289.444             289.487
Southern Asia         1202.040            1202.040              91.736              92.269               6.674               6.710             399.350             402.222             139.675             138.198             571.330             569.405
Sahara and Arabia       82.988              82.988               1.436               1.436               0.605               0.605              16.627              16.628              57.331              57.330               7.563               7.562
MedSea and MidEast     431.482             431.482              21.330              21.569               3.546               3.582             168.309             170.076             161.546             160.584              80.394              79.352
Tigris Euphrates       381.053             381.053               8.501               8.669               1.891               1.926             136.863             139.110             159.023             157.943              76.827              75.489
Polar                  420.115             420.115              15.052              14.998               3.647               3.630              96.765              96.472              64.042              64.251             198.577             198.712
Lost Boreal Forest     326.624             326.624              26.174              26.139               7.536               7.522             112.349             112.196             106.173             106.318              81.991              82.031
N. Hemisphere Land     684.188             684.188              53.751              53.905               5.624               5.635             228.456             229.091             123.782             123.434             270.525             270.079
S. Hemisphere Land     867.882             867.882              83.395              83.575               6.505               6.522             305.503             306.805             124.999             124.308             281.126             280.328
Global                 743.897             743.897              63.387              63.549               5.910               5.923             253.500             254.352             124.177             123.718             273.970             273.410
