Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg,453.043
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Benchmark Period Mean (complement),MeanState,global,scalar,Pg,19.8026
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Period Mean (original grids),MeanState,global,scalar,Pg,684.475
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Model Period Mean (intersection),MeanState,global,scalar,Pg,155.294
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Model Period Mean (complement),MeanState,global,scalar,Pg,549.715
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,119.582
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,11.0758
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Period Mean (original grids),MeanState,above,scalar,Pg,86.2608
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Model Period Mean (intersection),MeanState,above,scalar,Pg,60.3199
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Model Period Mean (complement),MeanState,above,scalar,Pg,24.4683
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Spatial Distribution Score,MeanState,global,score,1,0.217357
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Spatial Distribution Score,MeanState,above,score,1,0.124832
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Bias,MeanState,global,scalar,kg m-2,-13.8226
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Bias Score,MeanState,global,score,1,0.504476
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Bias,MeanState,above,scalar,kg m-2,-9.80921
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Bias Score,MeanState,above,score,1,0.544078
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Overall Score,MeanState,global,score,1,0.360916
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MPI-ESM1-2-LR,Overall Score,MeanState,above,score,1,0.334455
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg,472.846
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Benchmark Period Mean (complement),MeanState,global,scalar,Pg,nan
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Period Mean (original grids),MeanState,global,scalar,Pg,2652.23
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Model Period Mean (intersection),MeanState,global,scalar,Pg,1637.66
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Model Period Mean (complement),MeanState,global,scalar,Pg,1301.7
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,130.594
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,nan
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Period Mean (original grids),MeanState,above,scalar,Pg,614.069
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Model Period Mean (intersection),MeanState,above,scalar,Pg,470.899
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Model Period Mean (complement),MeanState,above,scalar,Pg,146.068
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Spatial Distribution Score,MeanState,global,score,1,0.00923925
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Spatial Distribution Score,MeanState,above,score,1,0.0601069
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Bias,MeanState,global,scalar,kg m-2,52.2664
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Bias Score,MeanState,global,score,1,0.43131
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Bias,MeanState,above,scalar,kg m-2,53.1199
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM2-LM,Bias Score,MeanState,above,score,1,0.391153
