Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,Period Mean (original grids),MeanState,above,scalar,Watt m-2,129.355
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,Bias,MeanState,above,scalar,Watt m-2,-54.8977
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,Bias Score,MeanState,above,score,1,0.494712
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,Phase Shift,MeanState,above,scalar,months,0.508333
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,Seasonal Cycle Score,MeanState,above,score,1,0.966327
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,RMSE,MeanState,above,scalar,Watt m-2,16.9491
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,RMSE Score,MeanState,above,score,1,0.416583
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP6,Overall Score,MeanState,above,score,1,0.573551
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,Period Mean (original grids),MeanState,above,scalar,Watt m-2,125.266
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,Bias,MeanState,above,scalar,Watt m-2,-58.987
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,Bias Score,MeanState,above,score,1,0.458776
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,Phase Shift,MeanState,above,scalar,months,0
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,Seasonal Cycle Score,MeanState,above,score,1,1
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,RMSE,MeanState,above,scalar,Watt m-2,17.8441
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,RMSE Score,MeanState,above,score,1,0.393471
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CESM2,Overall Score,MeanState,above,score,1,0.56143
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,Period Mean (original grids),MeanState,above,scalar,Watt m-2,133.401
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,Bias,MeanState,above,scalar,Watt m-2,-50.8512
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,Bias Score,MeanState,above,score,1,0.515115
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,Phase Shift,MeanState,above,scalar,months,0.508333
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,Seasonal Cycle Score,MeanState,above,score,1,0.966327
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,RMSE,MeanState,above,scalar,Watt m-2,32.2993
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,RMSE Score,MeanState,above,score,1,0.391068
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,UKESM1-0-LL,Overall Score,MeanState,above,score,1,0.565894
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,Period Mean (original grids),MeanState,above,scalar,Watt m-2,132.891
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,Bias,MeanState,above,scalar,Watt m-2,-51.6518
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,Bias Score,MeanState,above,score,1,0.449833
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,Phase Shift,MeanState,above,scalar,months,0.508333
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,Seasonal Cycle Score,MeanState,above,score,1,0.966327
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,RMSE,MeanState,above,scalar,Watt m-2,23.8625
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,RMSE Score,MeanState,above,score,1,0.381782
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,EnsembleCMIP5,Overall Score,MeanState,above,score,1,0.544931
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,Period Mean (original grids),MeanState,above,scalar,Watt m-2,135.786
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,Bias,MeanState,above,scalar,Watt m-2,-48.4665
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,Bias Score,MeanState,above,score,1,0.495839
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,Phase Shift,MeanState,above,scalar,months,0.508333
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,Seasonal Cycle Score,MeanState,above,score,1,0.966327
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,RMSE,MeanState,above,scalar,Watt m-2,35.7069
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,RMSE Score,MeanState,above,score,1,0.381131
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,IPSL-CM6A-LR,Overall Score,MeanState,above,score,1,0.556107
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CanESM5,Period Mean (original grids),MeanState,above,scalar,Watt m-2,136.509
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,CanESM5,Bias,MeanState,above,scalar,Watt m-2,-47.7435
