Variables,ACCESS1-3,CanESM2,GFDL-ESM2M,HadGEM2-CC,IPSL-CM5A-LR,MIROC-ESM,MPI-ESM-LR,NorESM1-M,EnsembleCMIP5,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,CESM2,CNRM-ESM2-1,GFDL_ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NorESM2-LM,UKESM1-0-LL,EnsembleCMIP6
Biomass,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gross Primary Productivity,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Leaf Area Index,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Global Net Ecosystem Carbon Balance,--,0.5722765395322061,--,--,0.6789045460086935,0.6150687678584277,0.681883346255332,0.6068281955018944,0.7460368396530518,0.4870040205014853,--,0.48937059208431055,0.7855708533241526,0.3041484426387988,0.36465281117876736,--,0.7607661601394916,0.59303115412346,0.8215922982210493,0.7446544837663827,0.7350958999831336,0.7838988430692067
Net Ecosystem Exchange,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ecosystem Respiration,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Soil Carbon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Surface Air Temperature,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Precipitation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Surface Downward SW Radiation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
