"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Period Mean (original grids)","MeanState","global","scalar","degC","11.5114","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Period Mean (original grids)","MeanState","above","scalar","degC","-1.10727","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Bias","MeanState","global","scalar","degC","1.66049","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Bias","MeanState","above","scalar","degC","0.943346","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Bias Score","MeanState","global","score","1","0.741076","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Bias Score","MeanState","above","score","1","0.897084","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Phase Shift","MeanState","global","scalar","months","0.374419","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Phase Shift","MeanState","above","scalar","months","0","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Seasonal Cycle Score","MeanState","global","score","1","0.969356","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Seasonal Cycle Score","MeanState","above","score","1","1","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","RMSE","MeanState","global","scalar","degC","4.0547","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","RMSE","MeanState","above","scalar","degC","4.41398","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","RMSE Score","MeanState","global","score","1","0.681507","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","RMSE Score","MeanState","above","score","1","0.739967","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Overall Score","MeanState","global","score","1","0.768361","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","ACCESS1-3","Overall Score","MeanState","above","score","1","0.844254","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","IPSL-CM5A-LR","Period Mean (original grids)","MeanState","global","scalar","degC","9.01833","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","IPSL-CM5A-LR","Period Mean (original grids)","MeanState","above","scalar","degC","-1.61273","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","IPSL-CM5A-LR","Bias","MeanState","global","scalar","degC","-0.87691","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","IPSL-CM5A-LR","Bias","MeanState","above","scalar","degC","0.204087","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","IPSL-CM5A-LR","Bias Score","MeanState","global","score","1","0.788018","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","IPSL-CM5A-LR","Bias Score","MeanState","above","score","1","0.919803","18.0"
