Variables,ACCESS1-3,CanESM2,GFDL-ESM2M,HadGEM2-CC,IPSL-CM5A-LR,MIROC-ESM,MPI-ESM-LR,NorESM1-M,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,CESM2,CNRM-ESM2-1,GFDL_ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NorESM2-LM,UKESM1-0-LL,EnsembleCMIP5,EnsembleCMIP6
Biomass,--,0.6276979830197709,0.5605008363324877,--,0.5664705368262284,--,0.5648757911771334,0.6170388477441782,0.641845209564041,0.7230900156495269,0.6915986604373339,0.6327358012844503,0.6619308621253492,0.6232506332921087,--,0.6236817458138758,0.70070706367652,0.5707477376386247,0.6403764070383392,0.7082789555729881,0.7017743578102287,0.7431842949304582
Gross Primary Productivity,--,--,0.5152841870835915,--,--,--,0.5716901769953756,0.584668549403479,0.612246795894928,0.608514494681014,--,0.603335207774964,--,--,0.5967740331905369,--,0.549825589085707,0.5750806341507255,0.6058711923209866,--,--,--
Leaf Area Index,0.6605805189033696,0.483689838266931,0.3849865588687107,--,0.5154260246552178,--,0.5164260093487162,0.42750174569998906,0.5620871875587163,0.5291334532326335,0.5209554595982115,0.5326946023673211,0.5689897896889916,0.4821870820038153,0.6064116699786077,0.5774028084499235,0.5585772754984519,0.5398212211504791,0.5337828129559605,0.552420903589565,0.581171196154667,0.6231274486566963
Global Net Ecosystem Carbon Balance,--,0.5722765395322061,--,--,0.6789045460086934,--,0.681883346255332,0.6068281955018945,0.4870040205014853,--,0.48937059208431055,0.7855708578476994,0.3041484426387989,0.36465281117876747,--,0.7607661601394917,0.59303115412346,0.8215922982210493,0.7446544837663827,0.7350958999831336,0.7460368396530517,0.7838988430692068
Net Ecosystem Exchange,--,--,--,--,--,--,0.2741798102175622,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ecosystem Respiration,--,--,--,--,0.5264589550786672,--,0.5672965401453808,0.5483751248534116,--,--,--,0.5842149701437491,--,--,--,--,0.5570285595300923,--,0.5743849232949649,--,--,--
Soil Carbon,--,0.7240224570053739,--,--,0.6891133594858464,--,--,0.5301358000849511,0.6801415582007005,--,0.7316070125045158,--,--,0.4594491029440531,--,0.4999177279447388,0.7133706276595178,0.5647668170962848,0.44834108598171535,0.6432833417075392,0.7380786985047936,0.6320274330979161
Surface Air Temperature,0.7968355126167547,0.7844694655085337,--,0.7866111932992049,0.7954291315440586,--,--,0.8017482343789891,0.7981413946111825,--,0.7864823441878823,0.8137953497471807,0.8048523834819127,0.8057885452246526,--,0.8025787884118072,0.795701007133741,0.8023471105629905,0.8016425328961956,0.7990412102667299,0.8332865967627929,0.8407114413070191
Precipitation,0.6431716496676885,0.6709894459137478,--,0.6752920878765579,0.6495646460343839,--,--,0.6644980283957838,0.6540497391239618,0.6767709028708652,0.6692278651033795,--,0.6796398502663082,0.7015063044348786,--,0.6766127381874616,0.6717800751887893,0.6765386935281903,0.6980806950114523,0.6910032519460693,0.7104193235692868,0.7316982579617836
Surface Downward SW Radiation,0.7512212824315205,0.7487742905887596,--,0.7616598707552698,0.7142660127882904,--,--,0.7521019239431591,0.7825724248675398,0.7844339931838575,0.7895351050105825,0.8021959008073799,0.788861584831232,0.8085268655636013,--,0.7857540375213026,0.7836154116724601,0.7854488783200361,0.7892880843341082,0.8020310985456948,0.785623422971935,0.8335964111028815
