Variables,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,CESM2,CNRM-ESM2-1,E3SM-1-1,ENSEMBLE-CMIP6,GFDL_ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NorESM2-LM,UKESM1-0-LL
Biomass,0.45433110373247176,0.5115373833018687,0.5196502942101325,0.47242501396904446,0.5101956437371414,0.2778368682828059,0.5758663097749771,0.5233111052737622,--,0.5455657964596005,0.4805517832223251,0.5214145936119371,0.48029888935980874,0.49035190599202183
Gross Primary Productivity,0.6019061061435605,0.5310006017185317,0.5572071169376581,0.5559544107209731,0.5134547790121397,0.14125533863058426,0.6745024616334782,0.5440982199523018,0.5636212499498344,0.5874819827259995,0.5177848265324323,0.5236581718459608,0.5585141614063599,0.5220789169172911
Leaf Area Index,0.5180257153597764,0.481839603966257,0.4497571769356353,0.46031211795027194,0.49077453649280917,0.4652247574010585,0.5529948712015745,0.4138684587496981,0.5255605278337774,0.5062574685363723,0.5090542458066276,0.4928471747124831,0.4620479654373225,0.5015008907931099
Global Net Ecosystem Carbon Balance,0.5166350972519955,--,0.4444367233333152,0.48123858130705094,0.4829031300004162,0.1824066040398907,0.51325343505927,0.4957994816781824,--,0.5035188424148429,0.4967593919365426,0.4507835743818319,0.4809261619338491,0.47750939734836545
Ecosystem Respiration,0.5992880778706139,0.5927953260212082,0.6276438444530765,0.5694800785667492,0.5556968262509586,0.13946067406677626,0.6513258734822639,0.5449650324922483,--,0.6263787411015752,0.5997068571809684,0.5432405681743022,0.5695777439965718,0.503242543329732
Autotrophic  Respiration,0.5630287994859564,0.5534194317555748,0.5677801359262217,0.5253150460846335,0.4873715760552786,0.12961482968562962,0.5992582968126171,0.5120229435093536,0.488558996161256,0.5541887135038833,0.5557558419623301,0.5009364863646577,0.5275796671526148,0.5039100930511103
Heterotrophic  Respiration,0.49392580168647776,0.5282097354053364,0.5223247565675456,0.4882082680359166,0.4542558854149145,0.10751876825975905,0.5348921481471235,0.4752561108194829,--,0.5057433657723559,0.5349785946665876,0.5059052662358706,0.4796591436828721,0.46235233870500175
Soil Carbon,0.33639228995065484,0.4033771353048141,0.3738273145025756,0.17933345302390327,--,--,0.4167194945926575,0.2160033407816934,0.46595257800141704,0.2115702563288113,0.4305997353482818,0.26229329504413046,0.17677009397280594,0.443884627137275
Methane,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Evapotranspiration,--,--,--,--,--,--,0.6420437173833232,--,--,--,--,--,--,--
Runoff,--,--,--,--,0.5699952868718076,--,0.6774926853804042,0.5950059094404241,--,--,--,--,--,--
Terrestrial Water Storage Anomaly,--,--,--,--,--,--,0.3857829298406388,--,--,--,--,--,--,--
Snow Water Equivalent,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Surface Soil Moisture,--,--,--,--,0.44265277972348904,--,0.4651990845283317,0.4466828780948512,--,--,--,--,--,--
Ground Heat Flux,~,~,~,~,~,~,~,~,~,~,~,~,~,~
Surface Air Temperature,0.8045725646991693,--,0.7886520448943516,0.8143254841383574,0.8181830925183526,0.8174433251294511,0.8411224155799001,0.8172620138409249,--,0.8137603919011738,0.8082218521191763,0.8142030909350563,0.8056298598423453,0.8040949254294919
Precipitation,0.6755091138982021,--,0.672373129912844,0.7282194666661871,0.6857878728575424,0.7245816030613705,0.771830323525325,0.7239256453616185,--,0.6767619401962759,0.6953350829458985,0.7046513649671071,0.7194072291110292,0.7259820196492751
Surface Downward SW Radiation,0.8085182490939987,0.8057182054551062,0.8155855638639845,0.8410509333372985,0.8338550318257989,0.8147028825157602,0.8644025325783439,0.8340465878250878,--,0.8092509079211231,0.8300930796125592,0.8141277907499076,0.8268950696317608,0.8265943755881089
