"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","Precipitation","ERA5","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.41535","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","3.55321","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.48272","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.43764","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.959779","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.759818","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.895474","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Bias","MeanState","global","scalar","mm d-1","0.0234245","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Bias Score","MeanState","global","score","1","0.776771","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","RMSE","MeanState","global","scalar","mm d-1","0.755079","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","RMSE Score","MeanState","global","score","1","0.768512","30.0"
"Forcings","Precipitation","ERA5","CARDAMOM","Overall Score","MeanState","global","score","1","0.83381","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.55301","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.58604","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.57404","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.940804","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","1.07896","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.867973","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","mm d-1","0.0226386","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.728765","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","mm d-1","0.988602","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.697582","30.0"
"Forcings","Precipitation","ERA5","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.786541","30.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.18913","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","3.3798","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.47606","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.41564","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","2.97045","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.966863","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.867271","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.887414","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Bias","MeanState","global","scalar","mm d-1","0.226465","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Bias Score","MeanState","global","score","1","0.751102","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","RMSE","MeanState","global","scalar","mm d-1","0.883444","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","RMSE Score","MeanState","global","score","1","0.728951","40.0"
"Forcings","Precipitation","GPCCv2018","CARDAMOM","Overall Score","MeanState","global","score","1","0.812656","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.26138","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.58624","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.53037","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","3.20493","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.956616","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","1.14756","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.852766","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","mm d-1","0.269029","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.711809","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","mm d-1","1.08141","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.680496","40.0"
"Forcings","Precipitation","GPCCv2018","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.776437","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.46077","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.58604","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.57484","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.972755","40.0"
