Variables,CARDAMOM,ENSEMBLE-CMIP6
Gross Primary Productivity,0.7182164994705895,0.6936593688592744
Leaf Area Index,0.5554215309554473,0.5876887297846969
Evapotranspiration,0.6641253050903484,0.7003227163386545
Evaporative Fraction,--,0.7592141245904858
Latent Heat,--,0.7142823024186902
Runoff,0.6316955572278294,0.644108303802054
Sensible Heat,--,0.7547441832057654
Terrestrial Water Storage Anomaly,0.6818596251784776,0.4575747973317272
Snow Water Equivalent,0.5028381370038082,--
Permafrost,~,~
Surface Soil Moisture,0.4276215229283585,0.7032686201564237
Snow Cover Fraction,~,~
Albedo,0.5006460798708688,0.6509673623169493
Surface Upward SW Radiation,0.5018018353680016,0.7275625207394645
Surface Net SW Radiation,0.7622307275024476,0.8270431441067083
Surface Upward LW Radiation,0.8540626924297963,0.8400298014938676
Surface Net LW Radiation,0.7159745064923639,0.7033648987992288
Surface Net Radiation,0.7196208309792007,0.7974414529952524
Ground Heat Flux,0.545084468036334,0.4494940061313577
Surface Air Temperature,0.8661464772659724,0.8558951143595198
Precipitation,0.8161469905066416,0.7744319070071969
Surface Downward SW Radiation,0.8716673976708551,0.8427612546763115
Surface Downward LW Radiation,0.8621227622086121,0.8373321495249306
