"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"F","o","r","ACCESS-ESM1-5","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.38543","30.0"
"F","o","r","ACCESS-ESM1-5","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"F","o","r","ACCESS-ESM1-5","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.82432","30.0"
"F","o","r","ACCESS-ESM1-5","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.64332","30.0"
"F","o","r","ACCESS-ESM1-5","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"F","o","r","ACCESS-ESM1-5","Spatial Distribution Score","MeanState","global","score","1","0.947781","30.0"
"F","o","r","ACCESS-ESM1-5","Phase Shift","MeanState","global","scalar","months","1.46996","30.0"
"F","o","r","ACCESS-ESM1-5","Seasonal Cycle Score","MeanState","global","score","1","0.817939","30.0"
"F","o","r","ACCESS-ESM1-5","Bias","MeanState","global","scalar","mm d-1","0.260943","30.0"
"F","o","r","ACCESS-ESM1-5","Bias Score","MeanState","global","score","1","0.662138","30.0"
"F","o","r","ACCESS-ESM1-5","RMSE","MeanState","global","scalar","mm d-1","1.3223","30.0"
"F","o","r","ACCESS-ESM1-5","RMSE Score","MeanState","global","score","1","0.581041","30.0"
"F","o","r","ACCESS-ESM1-5","Overall Score","MeanState","global","score","1","0.717988","30.0"
"F","o","r","CESM2","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.38577","30.0"
"F","o","r","CESM2","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"F","o","r","CESM2","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.51689","30.0"
"F","o","r","CESM2","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.38216","30.0"
"F","o","r","CESM2","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"F","o","r","CESM2","Spatial Distribution Score","MeanState","global","score","1","0.960208","30.0"
"F","o","r","CESM2","Phase Shift","MeanState","global","scalar","months","1.26977","30.0"
"F","o","r","CESM2","Seasonal Cycle Score","MeanState","global","score","1","0.852781","30.0"
"F","o","r","CESM2","Bias","MeanState","global","scalar","mm d-1","-0.00747897","30.0"
"F","o","r","CESM2","Bias Score","MeanState","global","score","1","0.715773","30.0"
"F","o","r","CESM2","RMSE","MeanState","global","scalar","mm d-1","1.03725","30.0"
"F","o","r","CESM2","RMSE Score","MeanState","global","score","1","0.644153","30.0"
"F","o","r","CESM2","Overall Score","MeanState","global","score","1","0.763414","30.0"
"F","o","r","NorESM2-LM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.38417","30.0"
"F","o","r","NorESM2-LM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"F","o","r","NorESM2-LM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.40186","30.0"
