Variables,ACCESS-ESM1-5,CESM2,ENSEMBLE-CMIP6,NorESM2-LM,UKESM1-0-LL
Gross Primary Productivity,0.6296625646590941,0.6244462593457366,0.6939253125104988,0.6260544876651993,0.5832323781828505
Leaf Area Index,0.5305002042279455,0.4845888725013413,0.5880863263834117,0.4885298776815251,0.5228585002132685
Evapotranspiration,0.6214660983125985,0.6784142979522078,0.7003912088418214,--,0.6777027389594827
Evaporative Fraction,0.7048045952817721,0.7285298213427485,0.7592141245904858,0.7209241957385989,0.7378086223063396
Latent Heat,0.6175552647140901,0.695996570618489,0.7135091623881712,0.6915037147418727,0.6690537369534203
Runoff,0.5652522230813396,0.5926318412015877,0.6430528091677823,0.5861643187889953,0.5984517719451727
Sensible Heat,0.6973647042837706,0.7163164971879545,0.7542499708116968,0.7076816884677261,0.7224080213822308
Terrestrial Water Storage Anomaly,0.5631918774556127,0.5806693623930242,0.4575747973317272,0.3805466325048936,0.49125076343662466
Snow Water Equivalent,~,~,~,~,~
Permafrost,0.71970301759912,0.6523808350720517,--,0.6326044998314155,0.7226765085588829
Surface Soil Moisture,0.625158157331579,0.5510741902142674,0.7033669955747912,0.5357726762969308,0.5686878057403533
Snow Cover Fraction,~,~,~,~,~
Albedo,0.6098028195519136,0.6349137575583724,0.6509673623169493,0.6260959033544504,0.6028961992061805
Surface Upward SW Radiation,0.6901197386575756,0.7066631342786418,0.7351538074999131,0.6997403631178907,0.6808902770626042
Surface Net SW Radiation,0.7735636060013662,0.8025478966471392,0.8269374233768839,0.7875335091842347,0.8079053671044243
Surface Upward LW Radiation,0.8054052041772802,0.8078425299687598,0.8417534917217465,0.7997481787443799,0.8115522357276886
Surface Net LW Radiation,0.6345840687597727,0.6417221203639096,0.6999899604794431,0.6404507498827202,0.6514960175090013
Surface Net Radiation,0.7550732372532257,0.7809680722569451,0.7929684740930649,0.7743178178214055,0.7940500724547076
Ground Heat Flux,0.5155300056302796,0.5103412282240299,0.4496522081456071,0.47749321190833005,0.5051066314127801
Surface Air Temperature,0.8182851153712504,0.836453548238718,0.8570952435638908,0.8215671998298609,0.8199576129083419
Precipitation,0.6836958733205415,0.7466187584913555,0.7731648092438159,0.7387358874468395,0.7369811483919552
Surface Downward SW Radiation,0.7975196382914294,0.8223624050196099,0.8473053349955922,0.8105760796764298,0.8131097094256032
Surface Downward LW Radiation,0.8033849711411702,0.7967193596045711,0.8342399527392379,0.7875737903049439,0.8068978509065495
