"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Period Mean (original grids)","MeanState","global","scalar","degC","10.9495","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Bias","MeanState","global","scalar","degC","1.18984","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Bias Score","MeanState","global","score","1","0.781176","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Phase Shift","MeanState","global","scalar","months","0.319897","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Seasonal Cycle Score","MeanState","global","score","1","0.976692","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","RMSE","MeanState","global","scalar","degC","3.26561","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","RMSE Score","MeanState","global","score","1","0.741489","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP5","Overall Score","MeanState","global","score","1","0.810211","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","Period Mean (original grids)","MeanState","global","scalar","degC","11.0837","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","Bias","MeanState","global","scalar","degC","0.772483","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","Bias Score","MeanState","global","score","1","0.778229","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","Phase Shift","MeanState","global","scalar","months","0.349837","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.975513","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","RMSE","MeanState","global","scalar","degC","2.96915","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","RMSE Score","MeanState","global","score","1","0.727065","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","EnsembleCMIP6","Overall Score","MeanState","global","score","1","0.801968","18.0"
