"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","109.487","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","4.71049","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","118.94","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","116.107","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","2.9978","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Spatial Distribution Score","MeanState","global","score","1","0.972558","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Phase Shift","MeanState","global","scalar","months","1.24481","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Seasonal Cycle Score","MeanState","global","score","1","0.772539","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Bias","MeanState","global","scalar","g m-2 d-1","0.164617","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Bias Score","MeanState","global","score","1","0.552939","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","RMSE","MeanState","global","scalar","g m-2 d-1","1.26331","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","RMSE Score","MeanState","global","score","1","0.480483","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Overall Score","MeanState","global","score","1","0.651801","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Evapotranspiration|GLEAMv3.3a Hellinger Distance","Relationships","global","scalar","1","0.535161","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Evapotranspiration|GLEAMv3.3a Score","Relationships","global","score","1","0.907579","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.608937","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.940294","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","4597_2026-03-05_uncalib","SurfaceDownwardSWRadiation|CERESed4.2 Hellinger Distance","Relationships","global","scalar","1","0.560746","75.0"
