Variables,4597_2026-03-05_uncalib,4598_2026-03-05_latest,ENSEMBLE-CMIP6
Gross Primary Productivity,0.6549463294212085,0.6272504206862386,0.6939253125104988
Leaf Area Index,0.6414126262541842,0.6414126262541842,0.6246430128685054
Net Ecosystem Exchange,0.17080697696415453,0.1620888466189654,0.38849934862964136
Ecosystem Respiration,--,--,0.6911421436611107
Soil Carbon,0.36945213727689125,0.38090194784843784,0.6373970626078597
Biomass,0.16320414087922067,0.16320414087922067,0.6749948834911856
Evapotranspiration,0.7187304375980857,0.7143162682660207,0.7003912088418214
Evaporative Fraction,0.7340665242299549,0.7494838425381809,0.7592141245904858
Latent Heat,0.7247755886907787,0.7397511410731926,0.7135091623881712
Runoff,0.6978051143721455,0.6941829084681936,0.6786922664666521
Surface Runoff,0.6751907007815143,0.680822834521291,--
Subsurface Runoff,0.7242017230322446,0.7193946853461142,--
Sensible Heat,0.7306860179811623,0.7426501782624156,0.7542499708116968
Terrestrial Water Storage Anomaly,--,--,0.4534560172470642
Snow Water Equivalent,0.5154553445634772,0.5494720379333717,--
Permafrost,0.647804700136352,0.6479537838915301,0.317167928816411
Surface Soil Moisture,0.5853138759789369,0.5764074243913055,0.7033669955747912
Snow Cover Fraction,0.8239890165007033,0.833700769539625,--
Albedo,0.5987733181078874,0.6000845041991945,0.6509673623169494
Surface Upward SW Radiation,0.7027133557099299,0.7120275024589175,0.7351538074999131
Surface Net SW Radiation,0.8440775650777439,0.8471705929483704,0.8269374233768839
Surface Upward LW Radiation,0.878911635582013,0.8757864321674773,0.8417534917217465
Surface Net LW Radiation,0.7248266814078768,0.72656583697535,0.6999899604794431
Surface Net Radiation,0.7931553370532127,0.7960490103304179,0.792968474093065
Ground Heat Flux,0.5225003809749957,0.5258487724669332,0.4496522081456071
Surface Air Temperature,0.9334221389355868,0.9334221389355868,0.8570952435638907
Precipitation,0.8218899149204145,0.8218899149204145,0.7731648092438159
Surface Downward SW Radiation,0.8950500786860779,0.8950500786860779,0.8473053349955922
Surface Downward LW Radiation,0.8946358979884718,0.8946358979884718,0.8342399527392379
