"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.93947","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","Bias","MeanState","global","scalar","g m-2 d-1","-0.58961","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","Bias Score","MeanState","global","score","1","0.605566","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","Phase Shift","MeanState","global","scalar","months","0.904557","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","Seasonal Cycle Score","MeanState","global","score","1","0.842098","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","RMSE","MeanState","global","scalar","g m-2 d-1","2.42624","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","RMSE Score","MeanState","global","score","1","0.482747","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","Overall Score","MeanState","global","score","1","0.603289","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP5","Overall Score","Relationships","global","score","1","0","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","3.52416","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","Bias","MeanState","global","scalar","g m-2 d-1","0.0928047","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","Bias Score","MeanState","global","score","1","0.532345","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","Phase Shift","MeanState","global","scalar","months","1.01603","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","Seasonal Cycle Score","MeanState","global","score","1","0.867587","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","RMSE","MeanState","global","scalar","g m-2 d-1","3.19821","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","RMSE Score","MeanState","global","score","1","0.426384","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","Overall Score","MeanState","global","score","1","0.563175","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","CliMA","Overall Score","Relationships","global","score","1","0","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.7285","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","Bias","MeanState","global","scalar","g m-2 d-1","-0.607222","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","Bias Score","MeanState","global","score","1","0.6221","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","Phase Shift","MeanState","global","scalar","months","0.881707","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.894756","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","RMSE","MeanState","global","scalar","g m-2 d-1","2.23313","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","RMSE Score","MeanState","global","score","1","0.506757","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","Overall Score","MeanState","global","score","1","0.632593","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXNET2015","EnsembleCMIP6","Overall Score","Relationships","global","score","1","0","45.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","114.501","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","169.285","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","120.279","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","49.0304","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Spatial Distribution Score","MeanState","global","score","1","0.96045","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Phase Shift","MeanState","global","scalar","months","0.979247","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.809441","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Bias","MeanState","global","scalar","g m-2 d-1","0.132065","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Bias Score","MeanState","global","score","1","0.574425","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","RMSE","MeanState","global","scalar","g m-2 d-1","1.14894","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","RMSE Score","MeanState","global","score","1","0.522317","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Overall Score","MeanState","global","score","1","0.67779","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP6","Overall Score","Relationships","global","score","1","0","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","101.83","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","12.671","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","141.215","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","138.825","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","2.38958","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Spatial Distribution Score","MeanState","global","score","1","0.852611","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Phase Shift","MeanState","global","scalar","months","1.08053","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Seasonal Cycle Score","MeanState","global","score","1","0.82396","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Bias","MeanState","global","scalar","g m-2 d-1","1.15119","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Bias Score","MeanState","global","score","1","0.346229","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","RMSE","MeanState","global","scalar","g m-2 d-1","2.44102","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","RMSE Score","MeanState","global","score","1","0.409753","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Overall Score","MeanState","global","score","1","0.568461","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","CliMA","Overall Score","Relationships","global","score","1","0","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","114.398","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","181.052","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","143.423","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","37.6373","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Spatial Distribution Score","MeanState","global","score","1","0.947872","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Phase Shift","MeanState","global","scalar","months","1.13751","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Seasonal Cycle Score","MeanState","global","score","1","0.760702","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Bias","MeanState","global","scalar","g m-2 d-1","0.661868","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Bias Score","MeanState","global","score","1","0.453718","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","RMSE","MeanState","global","scalar","g m-2 d-1","1.66926","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","RMSE Score","MeanState","global","score","1","0.461416","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Overall Score","MeanState","global","score","1","0.617025","75.0"
"EcosystemandCarbonCycle","GrossPrimaryProductivity","FLUXCOM","EnsembleCMIP5","Overall Score","Relationships","global","score","1","0","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.89979","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.61866","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.678023","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.698154","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.196703","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Spatial Distribution Score","MeanState","global","score","1","0.680592","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Phase Shift","MeanState","global","scalar","months","1.34308","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Seasonal Cycle Score","MeanState","global","score","1","0.752752","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Bias","MeanState","global","scalar","mm d-1","-1.20164","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Bias Score","MeanState","global","score","1","0.256676","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","RMSE","MeanState","global","scalar","mm d-1","1.39627","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","RMSE Score","MeanState","global","score","1","0.510603","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Overall Score","MeanState","global","score","1","0.542245","75.0"
"HydrologyCycle","Evapotranspiration","GLEAMv3.3a","CliMA","Overall Score","Relationships","global","score","1","0","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.75225","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.956543","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.678026","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.713983","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.136035","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Spatial Distribution Score","MeanState","global","score","1","0.715539","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Phase Shift","MeanState","global","scalar","months","1.41548","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CliMA","Seasonal Cycle Score","MeanState","global","score","1","0.752166","75.0"
