Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,Period Mean (original grids),MeanState,global,scalar,Watt m-2,171.189
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,Bias,MeanState,global,scalar,Watt m-2,-4.46616
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,Bias Score,MeanState,global,score,1,0.734805
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,Phase Shift,MeanState,global,scalar,months,0.457917
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.939468
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,RMSE,MeanState,global,scalar,Watt m-2,27.4084
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,RMSE Score,MeanState,global,score,1,0.696961
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM,Overall Score,MeanState,global,score,1,0.767049
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,Period Mean (original grids),MeanState,global,scalar,Watt m-2,171.189
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,Bias,MeanState,global,scalar,Watt m-2,-4.46616
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,Bias Score,MeanState,global,score,1,0.734805
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,Phase Shift,MeanState,global,scalar,months,0.457917
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,Seasonal Cycle Score,MeanState,global,score,1,0.939468
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,RMSE,MeanState,global,scalar,Watt m-2,27.4084
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,RMSE Score,MeanState,global,score,1,0.696961
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUNP,Overall Score,MeanState,global,score,1,0.767049
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,Period Mean (original grids),MeanState,global,scalar,Watt m-2,171.189
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,Bias,MeanState,global,scalar,Watt m-2,-4.46616
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,Bias Score,MeanState,global,score,1,0.734805
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,Phase Shift,MeanState,global,scalar,months,0.457917
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,Seasonal Cycle Score,MeanState,global,score,1,0.939468
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,RMSE,MeanState,global,scalar,Watt m-2,27.4084
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,RMSE Score,MeanState,global,score,1,0.696961
Forcings,SurfaceDownwardSWRadiation,WRMC.BSRN,ELM_FUN,Overall Score,MeanState,global,score,1,0.767049
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Benchmark Period Mean (intersection),MeanState,global,scalar,W m-2,186.155
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Benchmark Period Mean (complement),MeanState,global,scalar,W m-2,189.354
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Period Mean (original grids),MeanState,global,scalar,W m-2,182.321
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Model Period Mean (intersection),MeanState,global,scalar,W m-2,182.235
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Model Period Mean (complement),MeanState,global,scalar,W m-2,nan
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Spatial Distribution Score,MeanState,global,score,1,0.99791
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Phase Shift,MeanState,global,scalar,months,0.433325
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.954995
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Bias,MeanState,global,scalar,W m-2,-3.91919
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Bias Score,MeanState,global,score,1,0.847026
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,RMSE,MeanState,global,scalar,W m-2,14.3421
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,RMSE Score,MeanState,global,score,1,0.820898
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM,Overall Score,MeanState,global,score,1,0.888345
