Variables,E3SM,E3SM-FUN2.0,E3SM-FUN3.0
Biomass,0.5554690087547419,0.6280854990746888,0.7023868290209271
Carbon Dioxide,0.4473484025259773,0.43637255497902505,0.5315250151257304
Gross Primary Productivity,0.5656074126174312,0.5689205819494995,0.5737327366320547
Leaf Area Index,0.41154838685797446,0.46748169119536565,0.5288052513761571
Global Net Ecosystem Carbon Balance,0.6065279147819341,0.5928620627765473,0.575870795326891
Net Ecosystem Exchange,0.3925834754538662,0.4131841506226209,0.40901497876548387
Ecosystem Respiration,0.4539391901154045,0.47012827777554056,0.5367214459260321
Soil Carbon,0.6868129749122639,0.7011793124588299,0.727217035706375
Evapotranspiration,0.4711493709720636,0.47423027226817227,0.4937206771433857
Evaporative Fraction,0.3972754726432517,0.3926662419636061,0.3974198152587517
Latent Heat,0.6905219372561396,0.6955628379604304,0.7032695663176659
Runoff,0.7401667617385269,0.7383553763435878,0.7346651049246924
Sensible Heat,0.6901139791686832,0.6924907126086172,0.6942836113672612
Terrestrial Water Storage Anomaly,0.617103175510318,0.6133386082947186,0.6092847609167089
Permafrost,0.792290317621339,0.7958117113350807,0.7947996333705676
Albedo,0.6225028554137781,0.6228512906233595,0.6213835389514305
Surface Upward SW Radiation,0.6526768271922795,0.652915214790705,0.653951453706852
Surface Net SW Radiation,0.8003269181148988,0.800348955632855,0.7998829754323398
Surface Upward LW Radiation,0.7929596718563984,0.7927315084623524,0.7906339551777182
Surface Net LW Radiation,0.6415540094310552,0.6408174152467907,0.642137597528182
Surface Net Radiation,0.7555096027668504,0.7555215949586332,0.7550734993668584
Surface Air Temperature,0.889669789165714,0.8902242171771148,0.8919848219062763
Precipitation,0.7780479229470542,0.7780479229470542,0.7780479229470542
Surface Relative Humidity,0.6035862543168864,0.6034825736098022,0.6028393220440039
Surface Downward SW Radiation,0.8571692464918428,0.8571692464918428,0.8571692464918428
Surface Downward LW Radiation,0.8323334531826042,0.8323334531826042,0.8323334531826042
