"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","183.012","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","Bias","MeanState","global","scalar","Watt m-2","3.17882","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","Bias Score","MeanState","global","score","1","0.714887","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","Phase Shift","MeanState","global","scalar","months","0.579085","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.933394","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","RMSE","MeanState","global","scalar","Watt m-2","30.2301","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","RMSE Score","MeanState","global","score","1","0.655115","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","EnsembleCMIP6","Overall Score","MeanState","global","score","1","0.739628","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","169.014","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","Bias","MeanState","global","scalar","Watt m-2","-4.40253","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","Bias Score","MeanState","global","score","1","0.734805","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","Phase Shift","MeanState","global","scalar","months","0.496748","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","Seasonal Cycle Score","MeanState","global","score","1","0.934726","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","RMSE","MeanState","global","scalar","Watt m-2","28.4888","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","RMSE Score","MeanState","global","score","1","0.679962","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN3.0","Overall Score","MeanState","global","score","1","0.757364","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","169.014","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","Bias","MeanState","global","scalar","Watt m-2","-4.40253","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","Bias Score","MeanState","global","score","1","0.734805","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","Phase Shift","MeanState","global","scalar","months","0.496748","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","Seasonal Cycle Score","MeanState","global","score","1","0.934726","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","RMSE","MeanState","global","scalar","Watt m-2","28.4888","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","RMSE Score","MeanState","global","score","1","0.679962","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM","Overall Score","MeanState","global","score","1","0.757364","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","169.014","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","Bias","MeanState","global","scalar","Watt m-2","-4.40253","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","Bias Score","MeanState","global","score","1","0.734805","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","Phase Shift","MeanState","global","scalar","months","0.496748","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","Seasonal Cycle Score","MeanState","global","score","1","0.934726","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","RMSE","MeanState","global","scalar","Watt m-2","28.4888","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","RMSE Score","MeanState","global","score","1","0.679962","24.0"
"Forcings","SurfaceDownwardSWRadiation","WRMC.BSRN","ELM-FUN2.0","Overall Score","MeanState","global","score","1","0.757364","24.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","W m-2","186.709","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","W m-2","nan","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Period Mean (original grids)","MeanState","global","scalar","W m-2","187.732","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Model Period Mean (intersection)","MeanState","global","scalar","W m-2","187.706","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Model Period Mean (complement)","MeanState","global","scalar","W m-2","nan","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Spatial Distribution Score","MeanState","global","score","1","0.992325","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Phase Shift","MeanState","global","scalar","months","0.534348","30.0"
"Forcings","SurfaceDownwardSWRadiation","CERESed4.1","EnsembleCMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.939307","30.0"
