Variables,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,CESM2,CNRM-ESM2-1,GFDL_ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NorESM2-LM,UKESM1-0-LL,EnsembleCMIP6,ELM,ELM-FUN2.0,ELM-FUN3.0
Biomass,0.641845209564041,0.7230900156495269,0.6915986604373339,0.6327358012844503,0.6619308621253492,0.6232506332921087,--,0.6236817458138758,0.70070706367652,0.5707477376386247,0.6403764070383392,0.7082789555729881,0.7431842949304582,0.5952205733484562,0.6638791042232572,0.6937465720584216
Gross Primary Productivity,--,--,--,--,--,--,0.5967740331905369,--,--,--,--,--,--,--,--,--
Leaf Area Index,0.5620871875587163,0.5291334532326335,0.5209554595982115,0.5326946023673211,0.5689897896889916,0.4821870820038153,0.6064116699786077,0.5774028084499235,0.5585772754984519,0.5398212211504791,0.5337828129559605,0.552420903589565,0.6231274486566963,0.4328409111614854,0.49160267348073317,0.5564361169724387
Global Net Ecosystem Carbon Balance,0.4870040205014853,--,0.48937059208431055,0.7855708578476994,0.3041484426387989,0.36465281117876747,--,0.7607661601394917,0.59303115412346,0.8215922982210493,0.7446544837663827,0.7350958999831336,0.7838988430692068,0.6065279147819341,0.5928620627765473,0.575870795326891
Net Ecosystem Exchange,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ecosystem Respiration,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Soil Carbon,0.6801415582007005,--,0.7316070125045158,--,--,0.4594491029440531,--,0.4999177279447388,0.7133706276595178,0.564766817096285,0.44834108598171535,0.6432833417075392,0.6320274330979161,0.6862782559240225,0.7007688798744635,0.7270182088695984
Surface Air Temperature,0.7981413946111825,--,0.7864823441878823,0.8137953497471807,0.8048523834819127,0.8057885452246526,--,0.8025787884118072,0.795701007133741,0.8023471105629905,0.8016425328961956,0.7990412102667299,0.8407114413070191,0.8891590947801705,0.8897098244300655,0.8914659507549189
Precipitation,0.6540497391239618,0.6767709028708652,0.6692278651033795,--,0.6796398502663082,0.7015063044348786,--,0.6766127381874616,0.6717800751887893,0.6765386935281903,0.6980806950114523,0.6910032519460693,0.7316982579617836,0.7749027278667987,0.7749027278667987,0.7749027278667987
Surface Downward SW Radiation,0.7884325768693501,0.7907022785274274,0.7956952318990685,0.808411272180872,0.7949833899051767,0.8150732651216208,--,0.7932236869353996,0.7909528655707361,0.7929530862021802,0.7953872124068417,0.8093882286366872,0.8400773732631122,0.8713408016551099,0.8713408016551099,0.8713408016551099
