"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","Period Mean (original grids)","MeanState","global","scalar","degC","10.148","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","Bias","MeanState","global","scalar","degC","0.0142161","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","Bias Score","MeanState","global","score","1","0.792464","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","Phase Shift","MeanState","global","scalar","months","0.240421","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","Seasonal Cycle Score","MeanState","global","score","1","0.979222","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","RMSE","MeanState","global","scalar","degC","2.17785","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","RMSE Score","MeanState","global","score","1","0.833573","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN3.0","Overall Score","MeanState","global","score","1","0.859708","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","degC","10.0445","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","Bias","MeanState","global","scalar","degC","-0.0888211","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","Bias Score","MeanState","global","score","1","0.793573","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","Phase Shift","MeanState","global","scalar","months","0.240421","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","Seasonal Cycle Score","MeanState","global","score","1","0.979222","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","RMSE","MeanState","global","scalar","degC","2.17259","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","RMSE Score","MeanState","global","score","1","0.834149","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM-FUN2.0","Overall Score","MeanState","global","score","1","0.860273","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","Period Mean (original grids)","MeanState","global","scalar","degC","10.0091","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","Bias","MeanState","global","scalar","degC","-0.12202","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","Bias Score","MeanState","global","score","1","0.794341","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","Phase Shift","MeanState","global","scalar","months","0.240421","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","Seasonal Cycle Score","MeanState","global","score","1","0.979222","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","RMSE","MeanState","global","scalar","degC","2.17258","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","RMSE Score","MeanState","global","score","1","0.834008","18.0"
"Forcings","SurfaceAirTemperature","FLUXNET2015","E3SM","Overall Score","MeanState","global","score","1","0.860395","18.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.707","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Benchmark Period Mean (complement)","MeanState","global","scalar","K","289.558","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","K","283.012","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Model Period Mean (intersection)","MeanState","global","scalar","K","286.566","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Model Period Mean (complement)","MeanState","global","scalar","K","262.451","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Spatial Distribution Score","MeanState","global","score","1","0.999761","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Phase Shift","MeanState","global","scalar","months","0.224918","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Seasonal Cycle Score","MeanState","global","score","1","0.976106","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Bias","MeanState","global","scalar","K","-0.136912","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Bias Score","MeanState","global","score","1","0.783536","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","RMSE","MeanState","global","scalar","K","1.35901","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","RMSE Score","MeanState","global","score","1","0.872814","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Overall Score","MeanState","global","score","1","0.901006","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.707","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Benchmark Period Mean (complement)","MeanState","global","scalar","K","289.558","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Period Mean (original grids)","MeanState","global","scalar","K","283.093","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Model Period Mean (intersection)","MeanState","global","scalar","K","286.657","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Model Period Mean (complement)","MeanState","global","scalar","K","262.475","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Spatial Distribution Score","MeanState","global","score","1","0.999699","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Phase Shift","MeanState","global","scalar","months","0.217841","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Seasonal Cycle Score","MeanState","global","score","1","0.976957","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Bias","MeanState","global","scalar","K","-0.0454541","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Bias Score","MeanState","global","score","1","0.790141","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","RMSE","MeanState","global","scalar","K","1.34666","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","RMSE Score","MeanState","global","score","1","0.875613","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Overall Score","MeanState","global","score","1","0.903605","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.707","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Benchmark Period Mean (complement)","MeanState","global","scalar","K","289.558","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Period Mean (original grids)","MeanState","global","scalar","K","282.99","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM","Model Period Mean (intersection)","MeanState","global","scalar","K","286.542","50.0"
