Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Benchmark Period Mean (intersection),MeanState,global,scalar,mm d-1,1.34015
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Benchmark Period Mean (complement),MeanState,global,scalar,mm d-1,2.67313
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Period Mean (original grids),MeanState,global,scalar,mm d-1,0.658594
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Model Period Mean (intersection),MeanState,global,scalar,mm d-1,0.634249
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Model Period Mean (complement),MeanState,global,scalar,mm d-1,0.83926
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Benchmark Period Mean (intersection),MeanState,bona,scalar,mm d-1,0.879749
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Benchmark Period Mean (complement),MeanState,bona,scalar,mm d-1,0.979036
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Period Mean (original grids),MeanState,bona,scalar,mm d-1,0.489967
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Model Period Mean (intersection),MeanState,bona,scalar,mm d-1,0.492227
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Model Period Mean (complement),MeanState,bona,scalar,mm d-1,0.440193
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Spatial Distribution Score,MeanState,global,score,1,0.456297
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Spatial Distribution Score,MeanState,bona,score,1,0.631939
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Phase Shift,MeanState,global,scalar,months,1.19822
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Seasonal Cycle Score,MeanState,global,score,1,0.800402
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Phase Shift,MeanState,bona,scalar,months,0.420158
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Seasonal Cycle Score,MeanState,bona,score,1,0.962249
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Bias,MeanState,global,scalar,mm d-1,-0.705583
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Bias Score,MeanState,global,score,1,0.322071
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Bias,MeanState,bona,scalar,mm d-1,-0.386824
HydrologyCycle,Evapotranspiration,GLEAMv3.3a,E3SM-FUN3.0,Bias Score,MeanState,bona,score,1,0.655967
