"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.707","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Benchmark Period Mean (complement)","MeanState","global","scalar","K","289.558","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","K","283.012","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Model Period Mean (intersection)","MeanState","global","scalar","K","286.566","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Model Period Mean (complement)","MeanState","global","scalar","K","262.451","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Spatial Distribution Score","MeanState","global","score","1","0.999761","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Phase Shift","MeanState","global","scalar","months","0.224918","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Seasonal Cycle Score","MeanState","global","score","1","0.976106","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Bias","MeanState","global","scalar","K","-0.136912","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Bias Score","MeanState","global","score","1","0.783536","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","RMSE","MeanState","global","scalar","K","1.35901","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","RMSE Score","MeanState","global","score","1","0.872814","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN2.0","Overall Score","MeanState","global","score","1","0.901006","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","E3SM-FUN3.0","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.707","50.0"
