DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      ISSP585Clm50BgcCrop_myc  (yrs 2016-2075)
 
REFERENCE CASE (case2): ISSP585Clm50BgcCrop_all  (yrs 2016-2075)
 
DIFFERENCE:            (ISSP585Clm50BgcCrop_myc) - (ISSP585Clm50BgcCrop_all)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -0.029
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink             0.031
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux   0.029
GPP(PgC/y) gross primary production                                        0.073
CUE(NPP/GPP) carbon use efficiency                                        -0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                              0.039
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                            0.034
NPP(PgC/y) net primary production                                          0.023
AGNPP(PgC/y) above ground net primary production                           0.022
BGNPP(PgC/y) below ground net primary production                           0.003
MR(PgC/y) maintenance respiration                                          0.057
GR(PgC/y) total growth respiration                                         0.003
AR(PgC/y) autotrophic respiration (MR + GR)                                0.050
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.009
RR(PgC/y) root respiration (fine root MR + total root GR)                  0.029
SR(PgC/y) total soil respiration (HR + root resp)                          0.020
ER(PgC/y) total ecosystem respiration (AR + HR)                            0.041
FINUNDATED(unitless) Fractional inundated of veg col                      -0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.000
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.000
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.001
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area            1.005
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.044
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area        0.000
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.001
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area       0.002
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.000
LEAFC(PgC) leaf carbon                                                     0.019
XSMRPOOL(PgC) Temporary Photosynthate C Pool                              -0.007
SOIL3C(PgC) Soil organic matter C (slow pool)                              0.003
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                               0.029
LIVESTEMC(PgC) live stem C                                                 0.004
DEADSTEMC(PgC) dead stem carbon                                            0.548
LIVECROOTC(PgC) live coarse root carbon                                    0.001
DEADCROOTC(PgC) dead coarse root carbon                                    0.167
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                           0.729
CWDC(PgC) coarse woody debris carbon                                       0.146
TOTLITC(PgC) total litter carbon                                           0.243
TOTLITC_1m(PgC) total litter carbon to 1m depth                            0.242
TOTSOMC(PgC) total SOM carbon                                             -0.062
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -0.066
TOTLITN(TgN) total litter N                                                2.810
TOTLITN_1m(TgN) total litter N to 1m depth                                 2.784
TOTSOMN(TgN) total soil organic matter N                                  -5.797
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                   -6.430
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                 1.055
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                         1.045
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                      -0.002
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                     0.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                           12.190
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -0.800
