DIAG SET 5: CN ANNUAL MEANS OVER LAND
 
TEST CASE (case1):      ISSP585Clm50BgcCrop_myc  (yrs 2016-2075)
 
REFERENCE CASE (case2): ISSP585Clm50BgcCrop_all  (yrs 2016-2075)
 
Variable                                                                 case1               case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source          -8.438              -8.409
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            10.700              10.669
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux   3.811               3.782
GPP(PgC/y) gross primary production                                      146.381             146.308
CUE(NPP/GPP) carbon use efficiency                                         0.435               0.435
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             75.615              75.576
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           70.766              70.732
NPP(PgC/y) net primary production                                         61.911              61.888
AGNPP(PgC/y) above ground net primary production                          34.375              34.353
BGNPP(PgC/y) below ground net primary production                          25.557              25.554
MR(PgC/y) maintenance respiration                                         52.333              52.276
GR(PgC/y) total growth respiration                                         6.814               6.811
AR(PgC/y) autotrophic respiration (MR + GR)                               84.470              84.420
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000            -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000            -999.000
HR(PgC/y) total hetereotrophic respiration                                51.210              51.219
RR(PgC/y) root respiration (fine root MR + total root GR)                 13.045              13.016
SR(PgC/y) total soil respiration (HR + root resp)                         64.255              64.235
ER(PgC/y) total ecosystem respiration (AR + HR)                          135.680             135.639
FINUNDATED(unitless) Fractional inundated of veg col                       0.047               0.047
FCH4(PgC/y) Gridcell surface CH4 flux                                      0.374               0.374
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                          0.478               0.478
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.002               0.002
CH4PROD(PgC/y) Gridcell total CH4 production                               0.852               0.853
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area          289.294             288.290
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     17.630              17.674
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area        1.638               1.638
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.588              -0.587
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area       6.501               6.499
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.329               0.329
LEAFC(PgC) leaf carbon                                                    11.524              11.505
XSMRPOOL(PgC) Temporary Photosynthate C Pool                              -5.625              -5.617
SOIL3C(PgC) Soil organic matter C (slow pool)                           1415.999            1415.996
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000            -999.000
FROOTC(PgC) fine root carbon                                              17.063              17.034
LIVESTEMC(PgC) live stem C                                                 2.179               2.175
DEADSTEMC(PgC) dead stem carbon                                          379.346             378.797
LIVECROOTC(PgC) live coarse root carbon                                    0.492               0.491
DEADCROOTC(PgC) dead coarse root carbon                                  120.145             119.977
CPOOL(PgC) temporary photosynthate C pool                                  0.000               0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                         575.809             575.080
CWDC(PgC) coarse woody debris carbon                                     125.647             125.500
TOTLITC(PgC) total litter carbon                                          48.378              48.135
TOTLITC_1m(PgC) total litter carbon to 1m depth                           47.947              47.705
TOTSOMC(PgC) total SOM carbon                                           2122.062            2122.125
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                       1326.977            1327.043
TOTLITN(TgN) total litter N                                              938.461             935.651
TOTLITN_1m(TgN) total litter N to 1m depth                               929.336             926.552
TOTSOMN(TgN) total soil organic matter N                              193564.016          193569.812
