DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      ISSP585Clm50BgcCrop_myc  (yrs 2016-2075)
 
REFERENCE CASE (case2): ISSP585Clm50BgcCrop_all  (yrs 2016-2075)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         276.191             276.191              33.078              33.082              12.598              12.599             120.517             120.525              38.934              38.931              82.194              82.183
Canadian Arctic        209.988             209.988               3.756               3.754               1.959               1.958              16.883              16.887              61.926              61.923             129.444             129.446
Greenland              682.289             682.289               2.520               2.517               0.301               0.301               4.034               4.035             -14.586             -14.586             315.594             315.595
Russian Arctic         369.454             369.454              20.301              20.294               6.339               6.335             115.172             115.230              57.927              57.903             175.325             175.298
Antarctica             243.608             243.608               0.000               0.000               0.000               0.000               0.000               0.000             -15.251             -15.251               9.885               9.885
Alaska                 607.395             607.395              54.312              54.336              11.148              11.150             133.711             133.698              58.251              58.230             358.261             358.279
Northwest Canada       409.765             409.765              48.021              47.998              11.156              11.151             162.904             162.848             106.952             106.972              88.731              88.790
Central Canada         608.237             608.237              59.101              58.928               9.505               9.481             163.087             162.943             150.050             150.266             234.245             234.345
Eastern Canada         897.084             897.084              54.616              54.440               5.779               5.761              89.527              89.518             109.247             109.324             643.327             643.439
Northern Europe        732.470             732.470              59.961              59.866               8.552               8.538             147.891             147.752              63.896              63.910             460.105             460.323
Western Siberia        610.461             610.461              46.576              46.499               7.841               7.827             203.118             202.590              80.087              80.265             281.264             281.680
Eastern Siberia        449.205             449.205              38.383              38.389               8.456               8.457             166.984             166.950              81.627              81.594             161.171             161.229
Western U.S.           409.429             409.429              25.362              25.342               6.151               6.147             114.441             114.412             135.091             135.106             134.362             134.395
Central U.S.           783.043             783.043              85.001              85.057              11.431              11.440             277.704             277.613             158.598             158.523             262.135             262.240
Eastern U.S.          1150.066            1150.066             106.356             106.217               8.970               8.957             292.774             292.599             183.698             183.855             566.161             566.317
Europe                 860.570             860.570              73.771              73.668               8.683               8.670             243.002             242.783              93.164              93.201             451.127             451.410
Mediterranean          712.327             712.327              60.891              60.924               8.554               8.558             291.964             291.832             127.165             127.103             231.412             231.560
Central America       2355.926            2355.926             384.731             384.755              17.226              17.230             531.773             532.078             211.786             211.368            1227.070            1227.158
Amazonia              2418.793            2418.793             351.004             350.886              14.364              14.359             691.817             691.996             148.533             148.309            1225.889            1226.053
Central Africa        1614.185            1614.185             274.429             274.348              17.093              17.089             641.092             641.272             177.844             177.680             520.416             520.482
Indonesia             3002.630            3002.630             429.652             429.430              15.126              15.117             590.490             590.331             188.224             188.380            1793.597            1793.822
Brazil                1346.826            1346.826             180.517             179.927              13.305              13.263             456.538             455.094             233.060             234.193             474.933             475.826
Sahel                  958.566             958.566              91.495              91.419               9.710               9.705             219.167             218.824             288.469             288.689             358.884             359.082
Southern Africa        946.433             946.433              81.827              81.842               8.351               8.353             315.610             315.797             290.181             290.081             258.082             257.979
India                 1220.593            1220.593              65.944              65.915               5.107               5.103             285.661             285.304             376.811             377.057             490.895             491.036
Indochina             1886.333            1886.333             189.924             189.966              10.523              10.527             505.514             505.657             226.461             226.372             963.951             963.855
Sahara Desert           65.573              65.573               2.389               2.390               0.981               0.981              12.479              12.483              46.915              46.914               4.126               4.123
Arabian Peninsula       58.788              58.788               0.893               0.893               0.639               0.639              15.483              15.486              43.411              43.410               0.819               0.817
Australia              286.620             286.620              11.394              11.394               3.908               3.908              98.861              98.858             147.456             147.461              30.217              30.216
Central Asia           223.102             223.102               5.206               5.206               2.054               2.054              86.279              86.247             104.588             104.607              27.772              27.781
Mongolia               189.737             189.737              17.376              17.381               6.278               6.279              82.039              82.027              80.942              80.960              11.277              11.269
Tibetan Plateau        298.335             298.335              35.535              35.546               9.559               9.560             107.521             107.520              75.479              75.456              81.095              81.109
Central Asia           313.717             313.717              15.799              15.809               3.971               3.972             117.262             117.260             135.443             135.445              46.010              45.991
NE China               350.616             350.616              40.860              40.868               9.467               9.468             154.472             154.471              96.987              97.005              59.539              59.519
Eastern China          681.315             681.315              77.244              77.496              11.931              11.968             261.769             262.602             131.295             130.778             210.332             209.763
Tibetan Plateau        298.335             298.335              35.535              35.546               9.559               9.560             107.521             107.520              75.479              75.456              81.095              81.109
Southern Asia         1159.309            1159.309             102.805             102.882               7.990               7.997             280.725             281.044             199.956             199.807             575.883             575.635
Sahara and Arabia       61.873              61.873               1.871               1.871               0.858               0.858              13.142              13.146              45.562              45.561               2.067               2.064
MedSea and MidEast     417.227             417.227              27.551              27.581               4.638               4.642             172.729             172.782             148.601             148.530              68.884              68.870
Tigris Euphrates       320.380             320.380              10.789              10.798               2.725               2.727             149.813             149.982             126.131             126.013              35.346              35.297
Polar                  467.015             467.015              25.556              25.541               5.889               5.886              97.169              97.169              57.472              57.465             238.532             238.554
Lost Boreal Forest     389.528             389.528               0.000               0.000               0.000               0.000               0.000               0.000             -10.292             -10.292               2.572               2.572
N. Hemisphere Land     692.229             692.229              67.904              67.876               7.276               7.274             193.416             193.381             128.516             128.528             294.178             294.228
S. Hemisphere Land     906.500             906.500             104.994             104.941               7.542               7.539             262.041             261.993             135.376             135.416             331.350             331.412
Global                 761.876             761.876              79.960              79.924               7.362               7.360             215.722             215.683             130.746             130.767             306.260             306.314
