DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      I1850Clm50BgcCropSoudzi  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              20.332              20.323               7.314               7.309             156.697             156.688              34.384              34.369              87.208              87.232
Canadian Arctic        252.563             252.563               2.408               2.415               1.002               1.005              18.283              18.336              65.668              65.650             165.106             165.085
Greenland              608.418             608.418               1.840               1.837               0.289               0.289               4.717               4.735             -10.036             -10.038             258.030             258.022
Russian Arctic         317.513             317.513              13.559              13.547               4.704               4.697             121.668             121.840              52.084              52.040             127.733             127.662
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.969              -8.969               6.403               6.403
Alaska                 618.794             618.794              35.851              35.873               7.057               7.061             169.883             169.973              55.974              55.955             368.962             368.881
Northwest Canada       385.049             385.049              25.837              25.881               6.341               6.352             185.201             185.374             113.441             113.308              62.058              61.982
Central Canada         548.336             548.336              41.003              41.131               7.362               7.384             191.822             192.287             159.613             159.293             158.425             158.089
Eastern Canada         831.011             831.011              34.213              34.341               4.032               4.046             104.883             105.213             131.152             130.904             552.658             552.448
Northern Europe        653.513             653.513              37.768              37.872               6.164               6.178             172.892             173.320              68.952              68.777             372.563             372.179
Western Siberia        519.028             519.028              36.048              36.167               6.979               7.003             214.845             215.466              92.223              91.844             173.412             173.038
Eastern Siberia        380.501             380.501              24.799              24.826               6.342               6.347             160.994             161.171              84.401              84.342             114.133             114.010
Western U.S.           437.236             437.236              20.830              20.997               4.686               4.725              93.298              94.541             154.345             153.774             170.872             170.040
Central U.S.           766.036             766.036              79.785              80.457              10.582              10.667             293.651             296.241             163.134             161.811             246.155             244.136
Eastern U.S.          1070.862            1070.862              86.651              87.718               7.882               7.974             300.832             304.286             193.649             191.706             498.392             495.907
Europe                 806.542             806.542              53.222              54.129               6.730               6.851             257.417             260.642              91.745              90.179             404.271             401.630
Mediterranean          705.183             705.183              45.804              46.389               6.539               6.622             290.497             292.405             129.278             127.804             237.590             236.565
Central America       2343.342            2343.342             314.140             316.833              13.852              13.968             700.386             704.565             197.899             194.813            1122.694            1118.860
Amazonia              2049.971            2049.971             210.449             211.507              10.290              10.342             745.985             748.149             226.070             224.187             858.889             857.554
Central Africa        1605.691            1605.691             217.565             218.982              13.579              13.668             706.561             708.931             173.165             171.105             510.427             508.715
Indonesia             2900.894            2900.894             297.133             299.545              11.110              11.200             773.639             776.896             185.703             182.639            1635.324            1632.697
Brazil                1375.072            1375.072             157.703             158.859              11.496              11.575             646.885             650.601             188.464             186.534             392.647             389.757
Sahel                 1063.026            1063.026              90.614              91.316               8.773               8.827             350.590             353.908             249.102             247.548             367.763             365.282
Southern Africa        910.246             910.246              68.128              68.619               7.328               7.375             377.479             382.983             242.738             241.314             223.655             219.078
India                 1093.836            1093.836              56.154              56.688               5.064               5.105             309.146             313.757             297.678             295.095             432.304             429.724
Indochina             1907.116            1907.116             139.676             141.067               7.744               7.818             681.924             686.265             183.833             181.297             894.570             891.337
Sahara Desert          103.951             103.951               1.849               1.859               0.649               0.652              18.325              18.329              67.278              67.267              13.696              13.696
Arabian Peninsula       65.663              65.663               0.823               0.826               0.461               0.462              13.671              13.730              44.645              44.600               6.292               6.282
Australia              269.662             269.662              10.970              11.019               3.971               3.989             117.083             117.492             124.221             123.982              17.455              17.359
Central Asia           213.069             213.069               3.435               3.483               1.371               1.386              51.200              52.411             112.817             112.120              45.370              44.878
Mongolia               188.456             188.456              11.780              11.848               4.295               4.315              70.560              70.927              88.657              88.354              16.741              16.588
Tibetan Plateau        469.664             469.664              18.294              18.233               3.663               3.654             124.615             124.542              99.863              99.980             238.682             238.705
Central Asia           297.452             297.452              10.889              10.965               2.913               2.931              94.759              95.500             143.931             143.477              50.781              50.430
NE China               335.400             335.400              28.544              28.804               6.800               6.856             149.451             150.358             100.551              99.879              52.824              52.343
Eastern China          672.627             672.627              47.359              48.188               7.281               7.400             243.525             247.819             133.995             131.875             241.815             238.763
Tibetan Plateau        469.664             469.664              18.294              18.233               3.663               3.654             124.615             124.542              99.863              99.980             238.682             238.705
Southern Asia         1176.335            1176.335              73.587              74.337               5.348               5.399             298.751             303.006             180.831             178.683             623.697             620.846
Sahara and Arabia       90.197              90.197               1.494               1.501               0.581               0.584              16.422              16.442              59.841              59.820              10.442              10.439
MedSea and MidEast     428.038             428.038              19.713              19.945               3.283               3.320             159.282             160.486             159.465             158.639              89.710              89.098
Tigris Euphrates       367.126             367.126               7.990               8.090               1.786               1.809             125.037             127.013             148.749             147.732              88.050              87.021
Polar                  420.239             420.239              16.243              16.250               4.046               4.046             106.536             106.615              58.846              58.821             194.330             194.275
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.475             -14.475               3.959               3.959
N. Hemisphere Land     684.536             684.536              51.042              51.435               5.441               5.477             214.577             215.986             129.514             128.675             282.527             281.565
S. Hemisphere Land     867.448             867.448              81.292              81.809               6.413               6.450             310.567             312.404             123.916             123.005             279.135             277.736
Global                 743.991             743.991              60.875              61.308               5.757               5.793             245.779             247.327             127.694             126.832             281.423             280.318
