DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      I1850Clm50BgcCropStein  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              20.294              20.323               7.301               7.309             156.573             156.688              34.411              34.369              87.328              87.232
Canadian Arctic        252.563             252.563               2.407               2.415               1.001               1.005              18.287              18.336              65.669              65.650             165.098             165.085
Greenland              608.418             608.418               1.839               1.837               0.289               0.289               4.715               4.735             -10.031             -10.038             258.029             258.022
Russian Arctic         317.513             317.513              13.549              13.547               4.700               4.697             121.677             121.840              52.108              52.040             127.722             127.662
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.969              -8.969               6.403               6.403
Alaska                 618.794             618.794              35.815              35.873               7.049               7.061             169.830             169.973              56.010              55.955             369.028             368.881
Northwest Canada       385.049             385.049              25.830              25.881               6.339               6.352             185.199             185.374             113.424             113.308              62.070              61.982
Central Canada         548.336             548.336              41.038              41.131               7.369               7.384             192.163             192.287             159.294             159.293             158.325             158.089
Eastern Canada         831.011             831.011              34.253              34.341               4.036               4.046             104.855             105.213             131.078             130.904             552.745             552.448
Northern Europe        653.513             653.513              37.809              37.872               6.170               6.178             172.716             173.320              68.957              68.777             372.688             372.179
Western Siberia        519.028             519.028              36.000              36.167               6.967               7.003             214.630             215.466              92.356              91.844             173.524             173.038
Eastern Siberia        380.501             380.501              24.783              24.826               6.337               6.347             160.944             161.171              84.450              84.342             114.133             114.010
Western U.S.           437.236             437.236              20.841              20.997               4.687               4.725              93.304              94.541             154.349             153.774             170.826             170.040
Central U.S.           766.036             766.036              79.705              80.457              10.573              10.667             293.566             296.241             163.304             161.811             246.106             244.136
Eastern U.S.          1070.862            1070.862              86.105              87.718               7.834               7.974             298.295             304.286             194.816             191.706             500.303             495.907
Europe                 806.542             806.542              52.347              54.129               6.614               6.851             253.568             260.642              93.386              90.179             407.379             401.630
Mediterranean          705.183             705.183              45.281              46.389               6.467               6.622             287.808             292.405             130.675             127.804             239.392             236.565
Central America       2343.342            2343.342             313.630             316.833              13.827              13.968             698.900             704.565             198.661             194.813            1123.927            1118.860
Amazonia              2049.971            2049.971             210.416             211.507              10.288              10.342             745.964             748.149             226.101             224.187             858.914             857.554
Central Africa        1605.691            1605.691             217.418             218.982              13.569              13.668             706.132             708.931             173.442             171.105             510.723             508.715
Indonesia             2900.894            2900.894             296.921             299.545              11.102              11.200             773.013             776.896             186.089             182.639            1635.778            1632.697
Brazil                1375.072            1375.072             157.566             158.859              11.486              11.575             646.793             650.601             188.598             186.534             392.763             389.757
Sahel                 1063.026            1063.026              90.425              91.316               8.756               8.827             349.408             353.908             249.682             247.548             368.542             365.282
Southern Africa        910.246             910.246              67.890              68.619               7.305               7.375             376.477             382.983             244.381             241.314             223.080             219.078
India                 1093.836            1093.836              55.803              56.688               5.031               5.105             305.522             313.757             299.779             295.095             434.180             429.724
Indochina             1907.116            1907.116             139.459             141.067               7.733               7.818             680.845             686.265             184.358             181.297             895.337             891.337
Sahara Desert          103.951             103.951               1.848               1.859               0.648               0.652              18.317              18.329              67.283              67.267              13.702              13.696
Arabian Peninsula       65.663              65.663               0.822               0.826               0.460               0.462              13.657              13.730              44.654              44.600               6.296               6.282
Australia              269.662             269.662              10.963              11.019               3.969               3.989             117.054             117.492             124.234             123.982              17.468              17.359
Central Asia           213.069             213.069               3.420               3.483               1.365               1.386              50.970              52.411             112.965             112.120              45.339              44.878
Mongolia               188.456             188.456              11.734              11.848               4.282               4.315              70.429              70.927              88.794              88.354              16.795              16.588
Tibetan Plateau        469.664             469.664              18.230              18.233               3.652               3.654             123.843             124.542             100.105              99.980             239.234             238.705
Central Asia           297.452             297.452              10.816              10.965               2.898               2.931              94.275              95.500             144.227             143.477              50.978              50.430
NE China               335.400             335.400              28.385              28.804               6.765               6.856             148.971             150.358             100.932              99.879              53.092              52.343
Eastern China          672.627             672.627              46.704              48.188               7.178               7.400             239.902             247.819             135.822             131.875             244.213             238.763
Tibetan Plateau        469.664             469.664              18.230              18.233               3.652               3.654             123.843             124.542             100.105              99.980             239.234             238.705
Southern Asia         1176.335            1176.335              73.363              74.337               5.332               5.399             296.669             303.006             181.800             178.683             625.026             620.846
Sahara and Arabia       90.197              90.197               1.492               1.501               0.580               0.584              16.412              16.442              59.847              59.820              10.447              10.439
MedSea and MidEast     428.038             428.038              19.504              19.945               3.251               3.320             158.046             160.486             160.134             158.639              90.473              89.098
Tigris Euphrates       367.126             367.126               7.916               8.090               1.770               1.809             124.214             127.013             149.107             147.732              88.600              87.021
Polar                  420.239             420.239              16.236              16.250               4.044               4.046             106.529             106.615              58.839              58.821             194.351             194.275
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.475             -14.475               3.959               3.959
N. Hemisphere Land     684.536             684.536              50.904              51.435               5.424               5.477             213.842             215.986             129.893             128.675             283.009             281.565
S. Hemisphere Land     867.448             867.448              81.219              81.809               6.407               6.450             310.361             312.404             124.176             123.005             279.131             277.736
Global                 743.991             743.991              60.758              61.308               5.744               5.793             245.215             247.327             128.034             126.832             281.747             280.318
