DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropSulman  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
DIFFERENCE:            (I1850Clm50BgcCropSulman) - (I1850Clm50BgcCrop)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source           0.066
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.107
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux  -0.067
GPP(PgC/y) gross primary production                                       -0.590
CUE(NPP/GPP) carbon use efficiency                                        -0.002
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.275
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.315
NPP(PgC/y) net primary production                                         -0.436
AGNPP(PgC/y) above ground net primary production                          -0.194
BGNPP(PgC/y) below ground net primary production                          -0.217
MR(PgC/y) maintenance respiration                                         -0.337
GR(PgC/y) total growth respiration                                        -0.048
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.154
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.328
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.105
SR(PgC/y) total soil respiration (HR + root resp)                         -0.433
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.482
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.002
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.003
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.005
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -0.748
