DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      I1850Clm50BgcCropSulman  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              20.341              20.323               7.317               7.309             156.662             156.688              34.390              34.369              87.246              87.232
Canadian Arctic        252.563             252.563               2.410               2.415               1.002               1.005              18.298              18.336              65.683              65.650             165.086             165.085
Greenland              608.418             608.418               1.842               1.837               0.289               0.289               4.724               4.735             -10.032             -10.038             258.015             258.022
Russian Arctic         317.513             317.513              13.557              13.547               4.702               4.697             121.733             121.840              52.078              52.040             127.697             127.662
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.969              -8.969               6.403               6.403
Alaska                 618.794             618.794              35.890              35.873               7.064               7.061             169.948             169.973              56.007              55.955             368.869             368.881
Northwest Canada       385.049             385.049              25.871              25.881               6.350               6.352             185.300             185.374             113.361             113.308              61.997              61.982
Central Canada         548.336             548.336              41.054              41.131               7.371               7.384             191.986             192.287             159.581             159.293             158.248             158.089
Eastern Canada         831.011             831.011              34.281              34.341               4.039               4.046             104.987             105.213             131.015             130.904             552.639             552.448
Northern Europe        653.513             653.513              37.882              37.872               6.181               6.178             173.184             173.320              68.807              68.777             372.287             372.179
Western Siberia        519.028             519.028              36.121              36.167               6.993               7.003             215.056             215.466              92.056              91.844             173.276             173.038
Eastern Siberia        380.501             380.501              24.821              24.826               6.348               6.347             161.039             161.171              84.383              84.342             114.094             114.010
Western U.S.           437.236             437.236              20.858              20.997               4.691               4.725              93.297              94.541             154.343             153.774             170.877             170.040
Central U.S.           766.036             766.036              79.999              80.457              10.609              10.667             294.120             296.241             162.869             161.811             245.760             244.136
Eastern U.S.          1070.862            1070.862              87.018              87.718               7.914               7.974             301.922             304.286             193.025             191.706             497.573             495.907
Europe                 806.542             806.542              53.569              54.129               6.776               6.851             258.419             260.642              91.236              90.179             403.444             401.630
Mediterranean          705.183             705.183              45.959              46.389               6.562               6.622             291.327             292.405             128.948             127.804             236.947             236.565
Central America       2343.342            2343.342             314.817             316.833              13.882              13.968             701.186             704.565             197.168             194.813            1121.942            1118.860
Amazonia              2049.971            2049.971             210.640             211.507              10.299              10.342             746.211             748.149             225.779             224.187             858.763             857.554
Central Africa        1605.691            1605.691             217.834             218.982              13.597              13.668             706.927             708.931             172.812             171.105             510.151             508.715
Indonesia             2900.894            2900.894             297.626             299.545              11.130              11.200             774.134             776.896             185.129             182.639            1634.908            1632.697
Brazil                1375.072            1375.072             157.965             158.859              11.514              11.575             647.374             650.601             188.096             186.534             392.264             389.757
Sahel                 1063.026            1063.026              90.844              91.316               8.792               8.827             351.571             353.908             248.590             247.548             367.060             365.282
Southern Africa        910.246             910.246              68.288              68.619               7.344               7.375             378.688             382.983             242.076             241.314             223.011             219.078
India                 1093.836            1093.836              56.330              56.688               5.079               5.105             310.473             313.757             296.882             295.095             431.584             429.724
Indochina             1907.116            1907.116             139.987             141.067               7.761               7.818             682.665             686.265             183.322             181.297             894.025             891.337
Sahara Desert          103.951             103.951               1.852               1.859               0.650               0.652              18.286              18.329              67.289              67.267              13.720              13.696
Arabian Peninsula       65.663              65.663               0.824               0.826               0.461               0.462              13.680              13.730              44.639              44.600               6.288               6.282
Australia              269.662             269.662              10.984              11.019               3.976               3.989             117.155             117.492             124.172             123.982              17.443              17.359
Central Asia           213.069             213.069               3.448               3.483               1.376               1.386              51.652              52.411             112.574             112.120              45.211              44.878
Mongolia               188.456             188.456              11.791              11.848               4.296               4.315              70.431              70.927              88.705              88.354              16.732              16.588
Tibetan Plateau        469.664             469.664              18.280              18.233               3.664               3.654             124.698             124.542              99.876              99.980             238.605             238.705
Central Asia           297.452             297.452              10.915              10.965               2.919               2.931              94.941              95.500             143.823             143.477              50.690              50.430
NE China               335.400             335.400              28.613              28.804               6.810               6.856             149.395             150.358             100.530              99.879              52.732              52.343
Eastern China          672.627             672.627              47.617              48.188               7.320               7.400             244.714             247.819             133.363             131.875             241.007             238.763
Tibetan Plateau        469.664             469.664              18.280              18.233               3.664               3.654             124.698             124.542              99.876              99.980             238.605             238.705
Southern Asia         1176.335            1176.335              73.755              74.337               5.360               5.399             299.667             303.006             180.348             178.683             623.095             620.846
Sahara and Arabia       90.197              90.197               1.496               1.501               0.582               0.584              16.398              16.442              59.846              59.820              10.458              10.439
MedSea and MidEast     428.038             428.038              19.775              19.945               3.292               3.320             159.695             160.486             159.294             158.639              89.416              89.098
Tigris Euphrates       367.126             367.126               8.013               8.090               1.791               1.809             125.531             127.013             148.535             147.732              87.772              87.021
Polar                  420.239             420.239              16.265              16.250               4.050               4.046             106.605             106.615              58.820              58.821             194.268             194.275
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.475             -14.475               3.959               3.959
N. Hemisphere Land     684.536             684.536              51.156              51.435               5.453               5.477             214.924             215.986             129.308             128.675             282.275             281.565
S. Hemisphere Land     867.448             867.448              81.409              81.809               6.422               6.450             310.818             312.404             123.726             123.005             278.965             277.736
Global                 743.991             743.991              60.990              61.308               5.768               5.793             246.095             247.327             127.494             126.832             281.197             280.318
