DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropSoudzi_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
DIFFERENCE:            (I1850Clm50BgcCropSoudzi_grid) - (I1850Clm50BgcCrop)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source           0.033
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.040
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux  -0.039
GPP(PgC/y) gross primary production                                       -0.435
CUE(NPP/GPP) carbon use efficiency                                        -0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.222
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.213
NPP(PgC/y) net primary production                                         -0.229
AGNPP(PgC/y) above ground net primary production                          -0.092
BGNPP(PgC/y) below ground net primary production                          -0.123
MR(PgC/y) maintenance respiration                                         -0.191
GR(PgC/y) total growth respiration                                        -0.025
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.206
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.189
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.055
SR(PgC/y) total soil respiration (HR + root resp)                         -0.244
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.395
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.001
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.002
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.003
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -0.564
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.025
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.004
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.002
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.002
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area     -0.001
LEAFC(PgC) leaf carbon                                                    -0.043
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.017
SOIL3C(PgC) Soil organic matter C (slow pool)                             -0.034
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.055
LIVESTEMC(PgC) live stem C                                                -0.001
DEADSTEMC(PgC) dead stem carbon                                            0.088
LIVECROOTC(PgC) live coarse root carbon                                    0.000
DEADCROOTC(PgC) dead coarse root carbon                                    0.036
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                          -0.127
CWDC(PgC) coarse woody debris carbon                                       0.001
TOTLITC(PgC) total litter carbon                                          -0.345
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.344
TOTSOMC(PgC) total SOM carbon                                             -0.941
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -0.937
TOTLITN(TgN) total litter N                                               -8.297
TOTLITN_1m(TgN) total litter N to 1m depth                                -8.284
TOTSOMN(TgN) total soil organic matter N                                 -87.312
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                  -87.023
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                -1.409
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                        -1.392
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.002
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                    -0.000
