DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      I1850Clm50BgcCropSoudzi_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              20.320              20.323               7.310               7.309             156.740             156.688              34.380              34.369              87.158              87.232
Canadian Arctic        252.563             252.563               2.411               2.415               1.003               1.005              18.298              18.336              65.694              65.650             165.065             165.085
Greenland              608.418             608.418               1.856               1.837               0.291               0.289               4.735               4.735             -10.041             -10.038             258.005             258.022
Russian Arctic         317.513             317.513              13.536              13.547               4.695               4.697             121.744             121.840              52.106              52.040             127.679             127.662
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.969              -8.969               6.403               6.403
Alaska                 618.794             618.794              35.776              35.873               7.043               7.061             169.854             169.973              56.092              55.955             368.984             368.881
Northwest Canada       385.049             385.049              25.847              25.881               6.343               6.352             185.255             185.374             113.382             113.308              62.053              61.982
Central Canada         548.336             548.336              41.031              41.131               7.367               7.384             192.015             192.287             159.484             159.293             158.339             158.089
Eastern Canada         831.011             831.011              34.269              34.341               4.038               4.046             104.945             105.213             130.885             130.904             552.642             552.448
Northern Europe        653.513             653.513              37.771              37.872               6.164               6.178             172.928             173.320              68.957              68.777             372.515             372.179
Western Siberia        519.028             519.028              36.000              36.167               6.968               7.003             214.802             215.466              92.305              91.844             173.415             173.038
Eastern Siberia        380.501             380.501              24.781              24.826               6.336               6.347             160.987             161.171              84.417              84.342             114.145             114.010
Western U.S.           437.236             437.236              20.913              20.997               4.709               4.725              94.039              94.541             154.063             153.774             170.462             170.040
Central U.S.           766.036             766.036              80.238              80.457              10.643              10.667             295.419             296.241             162.294             161.811             244.768             244.136
Eastern U.S.          1070.862            1070.862              86.992              87.718               7.912               7.974             301.593             304.286             193.162             191.706             497.798             495.907
Europe                 806.542             806.542              53.523              54.129               6.769               6.851             258.546             260.642              91.277              90.179             403.315             401.630
Mediterranean          705.183             705.183              46.023              46.389               6.573               6.622             291.249             292.405             128.716             127.804             237.184             236.565
Central America       2343.342            2343.342             316.228             316.833              13.935              13.968             703.051             704.565             195.620             194.813            1120.186            1118.860
Amazonia              2049.971            2049.971             211.477             211.507              10.341              10.342             747.812             748.149             224.319             224.187             857.792             857.554
Central Africa        1605.691            1605.691             218.080             218.982              13.613              13.668             707.353             708.931             172.469             171.105             509.829             508.715
Indonesia             2900.894            2900.894             298.050             299.545              11.147              11.200             774.699             776.896             184.631             182.639            1634.415            1632.697
Brazil                1375.072            1375.072             158.811             158.859              11.572              11.575             650.432             650.601             186.615             186.534             389.906             389.757
Sahel                 1063.026            1063.026              90.818              91.316               8.795               8.827             351.864             353.908             248.745             247.548             366.636             365.282
Southern Africa        910.246             910.246              68.053              68.619               7.325               7.375             381.769             382.983             243.679             241.314             218.714             219.078
India                 1093.836            1093.836              56.679              56.688               5.105               5.105             312.990             313.757             295.435             295.095             430.158             429.724
Indochina             1907.116            1907.116             140.098             141.067               7.766               7.818             683.292             686.265             183.002             181.297             893.590             891.337
Sahara Desert          103.951             103.951               1.859               1.859               0.652               0.652              18.329              18.329              67.267              67.267              13.695              13.696
Arabian Peninsula       65.663              65.663               0.826               0.826               0.462               0.462              13.719              13.730              44.608              44.600               6.283               6.282
Australia              269.662             269.662              10.947              11.019               3.965               3.989             117.039             117.492             124.243             123.982              17.481              17.359
Central Asia           213.069             213.069               3.457               3.483               1.379               1.386              51.876              52.411             112.439             112.120              45.098              44.878
Mongolia               188.456             188.456              11.825              11.848               4.306               4.315              70.655              70.927              88.566              88.354              16.664              16.588
Tibetan Plateau        469.664             469.664              18.296              18.233               3.667               3.654             124.949             124.542              99.780              99.980             238.455             238.705
Central Asia           297.452             297.452              10.921              10.965               2.922               2.931              95.208              95.500             143.663             143.477              50.535              50.430
NE China               335.400             335.400              28.683              28.804               6.829               6.856             149.755             150.358             100.325              99.879              52.628              52.343
Eastern China          672.627             672.627              47.995              48.188               7.373               7.400             246.692             247.819             132.410             131.875             239.609             238.763
Tibetan Plateau        469.664             469.664              18.296              18.233               3.667               3.654             124.949             124.542              99.780              99.980             238.455             238.705
Southern Asia         1176.335            1176.335              73.807              74.337               5.365               5.399             300.412             303.006             180.027             178.683             622.626             620.846
Sahara and Arabia       90.197              90.197               1.501               1.501               0.584               0.584              16.439              16.442              59.823              59.820              10.439              10.439
MedSea and MidEast     428.038             428.038              19.788              19.945               3.295               3.320             159.658             160.486             159.249             158.639              89.474              89.098
Tigris Euphrates       367.126             367.126               7.994               8.090               1.786               1.809             125.417             127.013             148.708             147.732              87.681              87.021
Polar                  420.239             420.239              16.226              16.250               4.041               4.046             106.544             106.615              58.869              58.821             194.318             194.275
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.475             -14.475               3.959               3.959
N. Hemisphere Land     684.536             684.536              51.235              51.435               5.458               5.477             215.248             215.986             129.125             128.675             282.054             281.565
S. Hemisphere Land     867.448             867.448              81.631              81.809               6.436               6.450             311.894             312.404             123.441             123.005             277.999             277.736
Global                 743.991             743.991              61.115              61.308               5.776               5.793             246.663             247.327             127.277             126.832             280.734             280.318
