DIAG SET 7: RTM flow at station for world's 50 largest rivers (km3/yr)
 
TEST CASE (case1):      I1850Clm50BgcCropSoudzi_grid (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop (yrs 2000-2010)
 
OBS CASE: Dai and Trenberth (2002)
 
NO.                     RIVER NAME                 OBS VOL              RTM VOL GRDC             RTM VOL TEST CASE       RTM VOL REF CASE           STN LON                 STN LAT              STN LON TEST CASE       STN LAT TEST CASE       STN LON REF CASE        STN LAT REF CASE       STATION, COUNTRY        
 1                  Amazon                         5330.000                5083.000                4623.612                4622.313                 -55.500                  -2.000                 -56.250                  -2.250                 -56.250                  -2.250         Obidos, Brazil             
 2                  Congo                          1271.000                1266.000                1577.898                1578.062                  15.300                  -4.300                  15.750                  -3.750                  15.750                  -3.750         Kinshasa, Congo            
 3                  Orinoco                         984.000                1141.000                 986.218                 985.905                 -63.600                   8.100                 -64.250                   7.750                 -64.250                   7.750         Pte Angostu, Venezuela     
 4                  Changjiang                      910.000                 996.000                1096.282                1092.492                 117.600                  30.800                 117.750                  31.250                 117.750                  31.250         Datong, China              
 5                  Brahmaputra                     613.000                 617.000                 535.631                 534.525                  89.700                  25.200                  89.750                  24.750                  89.750                  24.750         Bahadurabad, Bangladesh    
 6                  Mississippi                     536.000                 458.000                 846.131                 845.150                 -90.900                  32.300                 -91.250                  32.750                 -91.250                  32.750         Vicksburg, MS, USA         
 7                  Yenisey                         577.000                 525.000                 366.400                 366.116                  86.500                  67.400                  86.250                  67.750                  86.250                  67.750         Igarka, Russia             
 8                  Parana                          476.000                 589.000                 850.292                 849.823                 -60.700                 -32.700                 -60.750                 -32.250                 -60.750                 -32.250         Timbues, Argentina         
 9                  Lena                            526.000                 456.000                 207.087                 206.903                 127.400                  70.700                 127.250                  71.250                 127.250                  71.250         Kusur, Russia              
10                  Mekong                          292.000                 271.000                 321.748                 321.054                 105.800                  15.100                 105.750                  15.750                 105.750                  15.750         Pakse, Laos                
11                  Tocantins                       356.000                 398.000                 297.056                 297.050                 -49.700                  -3.800                 -49.750                  -4.250                 -49.750                  -4.250         Tucurui, Brazil            
12                  Tapajos                         337.000                 545.000                 287.592                 287.488                 -56.800                  -5.200                 -57.250                  -5.750                 -57.250                  -5.750         Jatoba, Brazil             
13                  Ob                              397.000                 433.000                 367.587                 366.301                  66.600                  66.600                  66.250                  66.250                  66.250                  66.250         Salekhard, Russia          
14                  Ganges                          382.000                 428.000                 450.517                 449.099                  88.100                  24.500                  88.250                  24.750                  88.250                  24.750         Farakka, India             
15                  Irrawaddy                       258.000                 324.000                 176.615                 176.249                  96.000                  21.900                  95.750                  21.750                  95.750                  21.750         Sagaing, Myanmar(Burma)    
16                  St Lawrence                     226.000                 318.000                 364.810                 364.688                 -74.700                  45.000                 -75.250                  44.750                 -75.250                  44.750         Cornwall ON, Canada        
17                  Amur                            312.000                 359.000                 226.512                 225.571                 137.000                  50.500                 137.250                  50.750                 137.250                  50.750         Komsomolsk, Russia         
18                  Xingu                           272.000                 325.000                  68.531                  68.504                 -52.200                  -3.200                 -52.750                  -3.750                 -52.750                  -3.750         Altamira, Brazil           
19                  Mackenzie                       288.000                 260.000                 186.463                 186.316                -133.700                  67.500                -134.250                  67.750                -134.250                  67.750         Arctic Red, Canada         
20                  Xijiang                         221.000                 179.000                 227.716                 226.814                 111.300                  23.500                 110.750                  23.250                 110.750                  23.250         Wuzhou, China              
21                  Columbia                        172.000                 194.000                 163.065                 162.636                -121.200                  45.600                -121.750                  45.750                -121.750                  45.750         The Dalles, OR, USA        
22                  Magdalena                       231.000                 175.000                 290.268                 290.074                 -74.900                  10.200                 -74.750                   9.750                 -74.750                   9.750         Calamar, Colombia          
23                  Uruguay                         165.000                  65.000                 132.369                 132.240                 -58.000                 -31.400                 -57.750                 -30.750                 -57.750                 -30.750         Concordia, Argentina       
24                  Yukon                           203.000                 203.000                 116.485                 116.447                -162.900                  61.900                -163.250                  62.250                -163.250                  62.250         Pilot Stn, AK, USA         
25                  Atrato                           56.000                  33.000                  29.240                  29.234                 -76.700                   6.200                 -76.750                   6.750                 -76.750                   6.750         Tagachi, Colombia          
26                  Danube                          202.000                 166.000                 262.341                 261.444                  28.700                  45.200                  28.250                  44.750                  28.250                  44.750         Ceatal Izma, Romania       
27                  Niger                            33.000                 102.000                  33.428                  33.428                   3.500                  11.900                   3.750                  12.250                   3.750                  12.250         Gaya, Niger                
28                  Ogooue                          148.000                 139.000                 115.987                 115.826                  10.200                  -0.700                   9.750                  -0.750                   9.750                  -0.750         Lambarene, Gabon           
29                  Essequibo                        69.000                  25.000                  50.719                  50.691                 -58.600                   5.800                 -58.750                   5.250                 -58.750                   5.250         Plantain Is, Guyana        
30                  Fraser                           86.000                 121.000                  65.108                  65.006                -121.400                  49.400                -121.250                  49.750                -121.250                  49.750         Hope, Canada               
31                  Pechora                         135.000                 126.000                  83.291                  83.287                  52.200                  67.600                  52.250                  67.250                  52.250                  67.250         Oksino, Russia             
32                  Nelson                           70.000                  84.000                   2.135                   2.133                 -97.900                  54.800                 -98.250                  55.250                 -98.250                  55.250         Upstream of Bladder, Canada
33                  Khatanga                         78.000                  69.000                  44.411                  44.374                 102.500                  72.000                 102.750                  72.250                 102.750                  72.250         Khatanga, Russia           
34                  Sepik                           119.000                 112.000                  97.622                  97.563                 142.200                  -4.200                 142.750                  -4.250                 142.750                  -4.250         Ambunti, Papua New Guinea  
35                  Kolyma                           99.000                  83.000                  41.927                  41.939                 158.700                  68.700                 158.750                  68.750                 158.750                  68.750         Kolymskoye, Russia         
36                  Zambeze                         105.000                 404.000                  16.290                  16.310                  33.600                 -16.100                  33.250                 -16.750                  33.250                 -16.750         Matundo-Cai, Mozambique    
37                  Severnaya Dvina                 106.000                 176.000                  73.710                  73.662                  41.900                  64.100                  41.250                  64.250                  41.250                  64.250         Ust Pinega, Russia         
38                  Indus                            89.000                 125.000                   0.083                   0.083                  68.300                  25.400                  68.750                  25.250                  68.750                  25.250         Kotri, Pakistan            
39                  Sanaga                           63.000                  65.000                 106.050                 105.472                  10.100                   3.800                  10.750                   4.250                  10.750                   4.250         Edea, Cameroon             
40                  Godavari                         97.000                  86.000                 129.219                 129.058                  81.800                  16.900                  81.750                  17.250                  81.750                  17.250         Polavaram, India           
41                  Rajang                           70.000                  83.000                  64.504                  64.470                 112.900                   2.000                 113.250                   2.250                 113.250                   2.250         Kapit Wharf, Malaysia      
42                  Sao Francisco                    89.000                 127.000                 144.539                 144.624                 -37.000                 -10.000                 -37.750                  -9.750                 -37.750                  -9.750         Traipu, Brazil             
43                  Usumacinta                       59.000                  57.000                  55.705                  55.673                 -91.500                  17.400                 -91.250                  17.250                 -91.250                  17.250         Boca del Ce, Mexico        
44                  Maroni                           59.000                  11.000                  85.905                  85.897                 -54.500                   5.000                 -54.250                   4.250                 -54.250                   4.250         Langa Tabbe, Suriname      
45                  Rhine                            73.000                  86.000                  64.370                  63.948                   6.100                  51.800                   6.750                  51.250                   6.750                  51.250         Lobith, Netherlands        
46                  Purari                           74.000                  60.000                 105.645                 105.567                 145.100                  -7.000                 144.750                  -6.750                 144.750                  -6.750         Wabo Dam, Papua New Guinea 
47                  Caniapiscau                      43.000                  11.000                  22.439                  22.433                 -69.200                  57.400                 -69.750                  57.750                 -69.750                  57.750         Chute de la, Canada        
48                  Mahanadi                         60.000                  63.000                  61.509                  61.363                  84.000                  20.800                  83.750                  21.250                  83.750                  21.250         Kaimundi, India            
49                  Sacramento                       21.000                  11.000                  28.546                  28.550                -121.500                  38.600                -122.250                  39.250                -122.250                  39.250         Sacramento, CA, USA        
50                  Jacui                            55.000                  50.000                  41.782                  41.758                 -51.500                 -30.000                 -51.750                 -29.750                 -51.750                 -29.750         Passo do Ra, Brazil        
