DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropStein_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
DIFFERENCE:            (I1850Clm50BgcCropStein_grid) - (I1850Clm50BgcCrop)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source           0.003
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.009
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux  -0.034
GPP(PgC/y) gross primary production                                       -0.661
CUE(NPP/GPP) carbon use efficiency                                         0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.334
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.327
NPP(PgC/y) net primary production                                         -0.243
AGNPP(PgC/y) above ground net primary production                          -0.102
BGNPP(PgC/y) below ground net primary production                          -0.125
MR(PgC/y) maintenance respiration                                         -0.278
GR(PgC/y) total growth respiration                                        -0.027
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.419
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.234
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.046
SR(PgC/y) total soil respiration (HR + root resp)                         -0.281
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.653
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.001
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.002
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.003
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -1.184
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.021
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.005
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.001
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.009
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area     -0.000
LEAFC(PgC) leaf carbon                                                    -0.044
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.022
SOIL3C(PgC) Soil organic matter C (slow pool)                             -0.051
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.039
LIVESTEMC(PgC) live stem C                                                -0.004
DEADSTEMC(PgC) dead stem carbon                                            0.260
LIVECROOTC(PgC) live coarse root carbon                                    0.001
DEADCROOTC(PgC) dead coarse root carbon                                    0.103
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                           0.124
CWDC(PgC) coarse woody debris carbon                                       0.047
TOTLITC(PgC) total litter carbon                                          -0.264
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.263
TOTSOMC(PgC) total SOM carbon                                             -1.462
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -1.461
TOTLITN(TgN) total litter N                                               -7.619
TOTLITN_1m(TgN) total litter N to 1m depth                                -7.611
TOTSOMN(TgN) total soil organic matter N                                -135.531
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -135.219
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                -1.552
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                        -1.525
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.002
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                    -0.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -10.358
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -7.255
