DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      I1850Clm50BgcCropStein_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              20.346              20.323               7.320               7.309             156.703             156.688              34.363              34.369              87.229              87.232
Canadian Arctic        252.563             252.563               2.409               2.415               1.002               1.005              18.302              18.336              65.661              65.650             165.096             165.085
Greenland              608.418             608.418               1.847               1.837               0.290               0.289               4.741               4.735             -10.041             -10.038             258.003             258.022
Russian Arctic         317.513             317.513              13.547              13.547               4.698               4.697             121.709             121.840              52.097              52.040             127.691             127.662
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.969              -8.969               6.403               6.403
Alaska                 618.794             618.794              35.878              35.873               7.061               7.061             169.983             169.973              55.942              55.955             368.889             368.881
Northwest Canada       385.049             385.049              25.875              25.881               6.350               6.352             185.313             185.374             113.332             113.308              62.018              61.982
Central Canada         548.336             548.336              41.139              41.131               7.386               7.384             192.290             192.287             159.309             159.293             158.157             158.089
Eastern Canada         831.011             831.011              34.333              34.341               4.046               4.046             105.211             105.213             130.810             130.904             552.395             552.448
Northern Europe        653.513             653.513              37.890              37.872               6.181               6.178             173.485             173.320              68.777              68.777             371.993             372.179
Western Siberia        519.028             519.028              36.091              36.167               6.986               7.003             215.099             215.466              92.115              91.844             173.194             173.038
Eastern Siberia        380.501             380.501              24.836              24.826               6.351               6.347             161.120             161.171              84.349              84.342             114.039             114.010
Western U.S.           437.236             437.236              20.769              20.997               4.671               4.725              92.242              94.541             154.826             153.774             171.444             170.040
Central U.S.           766.036             766.036              80.037              80.457              10.607              10.667             294.691             296.241             162.702             161.811             245.081             244.136
Eastern U.S.          1070.862            1070.862              86.961              87.718               7.908               7.974             301.539             304.286             193.144             191.706             497.932             495.907
Europe                 806.542             806.542              52.537              54.129               6.636               6.851             254.325             260.642              93.124              90.179             406.713             401.630
Mediterranean          705.183             705.183              45.467              46.389               6.494               6.622             288.782             292.405             130.198             127.804             238.733             236.565
Central America       2343.342            2343.342             316.618             316.833              13.961              13.968             703.863             704.565             195.047             194.813            1119.555            1118.860
Amazonia              2049.971            2049.971             211.121             211.507              10.323              10.342             747.063             748.149             225.005             224.187             858.210             857.554
Central Africa        1605.691            1605.691             218.510             218.982              13.640              13.668             707.936             708.931             171.924             171.105             509.366             508.715
Indonesia             2900.894            2900.894             298.417             299.545              11.162              11.200             775.218             776.896             184.182             182.639            1633.973            1632.697
Brazil                1375.072            1375.072             158.345             158.859              11.538              11.575             649.799             650.601             187.502             186.534             390.139             389.757
Sahel                 1063.026            1063.026              90.803              91.316               8.782               8.827             351.151             353.908             248.990             247.548             367.036             365.282
Southern Africa        910.246             910.246              68.474              68.619               7.358               7.375             380.873             382.983             243.073             241.314             219.843             219.078
India                 1093.836            1093.836              56.350              56.688               5.074               5.105             309.449             313.757             297.421             295.095             432.046             429.724
Indochina             1907.116            1907.116             140.323             141.067               7.779               7.818             683.265             686.265             182.820             181.297             893.581             891.337
Sahara Desert          103.951             103.951               1.851               1.859               0.649               0.652              18.346              18.329              67.272              67.267              13.682              13.696
Arabian Peninsula       65.663              65.663               0.823               0.826               0.461               0.462              13.696              13.730              44.621              44.600               6.295               6.282
Australia              269.662             269.662              10.954              11.019               3.967               3.989             117.032             117.492             124.251             123.982              17.478              17.359
Central Asia           213.069             213.069               3.480               3.483               1.387               1.386              52.240              52.411             112.217             112.120              45.071              44.878
Mongolia               188.456             188.456              11.757              11.848               4.289               4.315              70.491              70.927              88.663              88.354              16.795              16.588
Tibetan Plateau        469.664             469.664              18.222              18.233               3.652               3.654             123.924             124.542             100.193              99.980             239.150             238.705
Central Asia           297.452             297.452              10.849              10.965               2.905               2.931              94.538              95.500             144.082             143.477              50.858              50.430
NE China               335.400             335.400              28.474              28.804               6.784               6.856             149.069             150.358             100.736              99.879              53.023              52.343
Eastern China          672.627             672.627              47.071              48.188               7.226               7.400             241.821             247.819             134.871             131.875             242.987             238.763
Tibetan Plateau        469.664             469.664              18.222              18.233               3.652               3.654             123.924             124.542             100.193              99.980             239.150             238.705
Southern Asia         1176.335            1176.335              73.817              74.337               5.364               5.399             299.335             303.006             180.482             178.683             623.230             620.846
Sahara and Arabia       90.197              90.197               1.495               1.501               0.581               0.584              16.443              16.442              59.829              59.820              10.434              10.439
MedSea and MidEast     428.038             428.038              19.590              19.945               3.264               3.320             158.432             160.486             159.953             158.639              90.179              89.098
Tigris Euphrates       367.126             367.126               7.917               8.090               1.769               1.809             123.775             127.013             149.439             147.732              88.626              87.021
Polar                  420.239             420.239              16.259              16.250               4.048               4.046             106.619             106.615              58.825              58.821             194.250             194.275
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.475             -14.475               3.959               3.959
N. Hemisphere Land     684.536             684.536              51.151              51.435               5.444               5.477             214.662             215.986             129.424             128.675             282.417             281.565
S. Hemisphere Land     867.448             867.448              81.588              81.809               6.432               6.450             311.589             312.404             123.658             123.005             278.124             277.736
Global                 743.991             743.991              61.044              61.308               5.765               5.793             246.168             247.327             127.550             126.832             281.020             280.318
