DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropSulman_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
DIFFERENCE:            (I1850Clm50BgcCropSulman_grid) - (I1850Clm50BgcCrop)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source           0.029
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.031
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux  -0.037
GPP(PgC/y) gross primary production                                       -0.585
CUE(NPP/GPP) carbon use efficiency                                         0.000
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                             -0.318
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.267
NPP(PgC/y) net primary production                                         -0.292
AGNPP(PgC/y) above ground net primary production                          -0.120
BGNPP(PgC/y) below ground net primary production                          -0.157
MR(PgC/y) maintenance respiration                                         -0.255
GR(PgC/y) total growth respiration                                        -0.032
AR(PgC/y) autotrophic respiration (MR + GR)                               -0.294
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.260
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.062
SR(PgC/y) total soil respiration (HR + root resp)                         -0.322
ER(PgC/y) total ecosystem respiration (AR + HR)                           -0.555
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.001
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.003
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.004
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -0.566
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.026
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.003
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.001
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.008
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area     -0.000
