DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      I1850Clm50BgcCropSulman_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         290.679             290.679              20.375              20.323               7.327               7.309             156.767             156.688              34.337              34.369              87.145              87.232
Canadian Arctic        252.563             252.563               2.416               2.415               1.005               1.005              18.339              18.336              65.625              65.650             165.096             165.085
Greenland              608.418             608.418               1.851               1.837               0.290               0.289               4.745               4.735             -10.047             -10.038             258.011             258.022
Russian Arctic         317.513             317.513              13.540              13.547               4.693               4.697             121.805             121.840              52.051              52.040             127.667             127.662
Antarctica             246.427             246.427               0.000               0.000               0.000               0.000               0.000               0.000              -8.969              -8.969               6.403               6.403
Alaska                 618.794             618.794              35.914              35.873               7.069               7.061             170.014             169.973              55.898              55.955             368.869             368.881
Northwest Canada       385.049             385.049              25.907              25.881               6.359               6.352             185.435             185.374             113.239             113.308              61.961              61.982
Central Canada         548.336             548.336              41.167              41.131               7.391               7.384             192.352             192.287             159.188             159.293             158.111             158.089
Eastern Canada         831.011             831.011              34.347              34.341               4.048               4.046             105.240             105.213             130.862             130.904             552.451             552.448
Northern Europe        653.513             653.513              37.765              37.872               6.165               6.178             172.876             173.320              68.967              68.777             372.554             372.179
Western Siberia        519.028             519.028              36.157              36.167               7.000               7.003             215.293             215.466              91.942              91.844             173.114             173.038
Eastern Siberia        380.501             380.501              24.840              24.826               6.352               6.347             161.201             161.171              84.302              84.342             114.011             114.010
Western U.S.           437.236             437.236              20.935              20.997               4.715               4.725              94.175              94.541             153.969             153.774             170.303             170.040
Central U.S.           766.036             766.036              80.249              80.457              10.648              10.667             295.354             296.241             162.312             161.811             244.821             244.136
Eastern U.S.          1070.862            1070.862              87.132              87.718               7.926               7.974             302.049             304.286             192.935             191.706             497.445             495.907
Europe                 806.542             806.542              53.114              54.129               6.716               6.851             256.973             260.642              91.938              90.179             404.650             401.630
Mediterranean          705.183             705.183              45.935              46.389               6.559               6.622             290.963             292.405             128.982             127.804             237.282             236.565
Central America       2343.342            2343.342             315.286             316.833              13.901              13.968             701.791             704.565             196.651             194.813            1121.386            1118.860
Amazonia              2049.971            2049.971             210.922             211.507              10.314              10.342             746.841             748.149             225.234             224.187             858.402             857.554
Central Africa        1605.691            1605.691             218.234             218.982              13.622              13.668             707.586             708.931             172.224             171.105             509.691             508.715
Indonesia             2900.894            2900.894             297.939             299.545              11.141              11.200             774.629             776.896             184.774             182.639            1634.450            1632.697
Brazil                1375.072            1375.072             158.435             158.859              11.546              11.575             649.026             650.601             187.275             186.534             390.950             389.757
Sahel                 1063.026            1063.026              90.799              91.316               8.792               8.827             351.646             353.908             248.914             247.548             366.646             365.282
Southern Africa        910.246             910.246              68.232              68.619               7.336               7.375             381.637             382.983             244.114             241.314             218.193             219.078
India                 1093.836            1093.836              56.415              56.688               5.083               5.105             311.359             313.757             296.355             295.095             431.136             429.724
Indochina             1907.116            1907.116             140.001             141.067               7.761               7.818             682.832             686.265             183.255             181.297             893.900             891.337
Sahara Desert          103.951             103.951               1.859               1.859               0.652               0.652              18.327              18.329              67.268              67.267              13.696              13.696
Arabian Peninsula       65.663              65.663               0.825               0.826               0.462               0.462              13.716              13.730              44.609              44.600               6.287               6.282
Australia              269.662             269.662              11.014              11.019               3.988               3.989             117.436             117.492             123.999             123.982              17.382              17.359
Central Asia           213.069             213.069               3.455               3.483               1.379               1.386              51.739              52.411             112.464             112.120              45.144              44.878
Mongolia               188.456             188.456              11.822              11.848               4.307               4.315              70.672              70.927              88.512              88.354              16.665              16.588
Tibetan Plateau        469.664             469.664              18.318              18.233               3.671               3.654             125.195             124.542              99.651              99.980             238.342             238.705
Central Asia           297.452             297.452              10.922              10.965               2.922               2.931              95.061              95.500             143.737             143.477              50.615              50.430
NE China               335.400             335.400              28.687              28.804               6.831               6.856             149.745             150.358             100.242              99.879              52.615              52.343
Eastern China          672.627             672.627              47.673              48.188               7.333               7.400             244.972             247.819             133.160             131.875             240.883             238.763
Tibetan Plateau        469.664             469.664              18.318              18.233               3.671               3.654             125.195             124.542              99.651              99.980             238.342             238.705
Southern Asia         1176.335            1176.335              73.673              74.337               5.356               5.399             299.402             303.006             180.516             178.683             623.288             620.846
Sahara and Arabia       90.197              90.197               1.501               1.501               0.584               0.584              16.437              16.442              59.824              59.820              10.441              10.439
MedSea and MidEast     428.038             428.038              19.786              19.945               3.295               3.320             159.765             160.486             159.227             158.639              89.415              89.098
Tigris Euphrates       367.126             367.126               8.037               8.090               1.795               1.809             125.969             127.013             148.360             147.732              87.499              87.021
Polar                  420.239             420.239              16.262              16.250               4.050               4.046             106.634             106.615              58.801              58.821             194.261             194.275
Lost Boreal Forest     560.572             560.572               0.000               0.000               0.000               0.000               0.000               0.000             -14.475             -14.475               3.959               3.959
N. Hemisphere Land     684.536             684.536              51.191              51.435               5.457               5.477             215.112             215.986             129.207             128.675             282.154             281.565
S. Hemisphere Land     867.448             867.448              81.521              81.809               6.430               6.450             311.490             312.404             123.721             123.005             278.224             277.736
Global                 743.991             743.991              61.050              61.308               5.773               5.793             246.440             247.327             127.424             126.832             280.876             280.318
